category,unit,breakdown,value
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 month to less than 6 months in care,no.,NSW,125
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 month to less than 6 months in care,no.,Vic,252
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 month to less than 6 months in care,no.,Qld,na
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 month to less than 6 months in care,no.,WA,71
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 month to less than 6 months in care,no.,SA,36
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 month to less than 6 months in care,no.,Tas,np
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 month to less than 6 months in care,no.,ACT,7
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 month to less than 6 months in care,no.,NT,34
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 month to less than 6 months in care,no.,Aust,525
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 6 months to less than 1 year in care,no.,NSW,59
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 6 months to less than 1 year in care,no.,Vic,127
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 6 months to less than 1 year in care,no.,Qld,na
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 6 months to less than 1 year in care,no.,WA,51
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 6 months to less than 1 year in care,no.,SA,28
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 6 months to less than 1 year in care,no.,Tas,np
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 6 months to less than 1 year in care,no.,ACT,np
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 6 months to less than 1 year in care,no.,NT,14
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 6 months to less than 1 year in care,no.,Aust,279
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 year to less than 2 years in care,no.,NSW,111
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 year to less than 2 years in care,no.,Vic,113
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 year to less than 2 years in care,no.,Qld,na
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 year to less than 2 years in care,no.,WA,84
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 year to less than 2 years in care,no.,SA,37
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 year to less than 2 years in care,no.,Tas,6
2024-25 > Children exiting out-of-home care > Aboriginal and Torres Strait Islander children > 1 year to less than 2 years in care,no.,ACT,np
