category,unit,breakdown,value
Children commencing intensive family support services > 2024-25 > Aboriginal and Torres Strait Islander children,no.,NSW,4084
Children commencing intensive family support services > 2024-25 > Aboriginal and Torres Strait Islander children,no.,Vic,2401
Children commencing intensive family support services > 2024-25 > Aboriginal and Torres Strait Islander children,no.,Qld,4999
Children commencing intensive family support services > 2024-25 > Aboriginal and Torres Strait Islander children,no.,WA,930
Children commencing intensive family support services > 2024-25 > Aboriginal and Torres Strait Islander children,no.,SA,1622
Children commencing intensive family support services > 2024-25 > Aboriginal and Torres Strait Islander children,no.,Tas,na
Children commencing intensive family support services > 2024-25 > Aboriginal and Torres Strait Islander children,no.,ACT,73
Children commencing intensive family support services > 2024-25 > Aboriginal and Torres Strait Islander children,no.,NT,422
Children commencing intensive family support services > 2024-25 > Non-Indigenous children,no.,NSW,6796
Children commencing intensive family support services > 2024-25 > Non-Indigenous children,no.,Vic,6233
Children commencing intensive family support services > 2024-25 > Non-Indigenous children,no.,Qld,4130
Children commencing intensive family support services > 2024-25 > Non-Indigenous children,no.,WA,455
Children commencing intensive family support services > 2024-25 > Non-Indigenous children,no.,SA,1872
Children commencing intensive family support services > 2024-25 > Non-Indigenous children,no.,Tas,na
Children commencing intensive family support services > 2024-25 > Non-Indigenous children,no.,ACT,107
Children commencing intensive family support services > 2024-25 > Non-Indigenous children,no.,NT,85
Children commencing intensive family support services > 2024-25 > Children of unknown Indigenous status,no.,NSW,349
Children commencing intensive family support services > 2024-25 > Children of unknown Indigenous status,no.,Vic,0
Children commencing intensive family support services > 2024-25 > Children of unknown Indigenous status,no.,Qld,872
Children commencing intensive family support services > 2024-25 > Children of unknown Indigenous status,no.,WA,39
Children commencing intensive family support services > 2024-25 > Children of unknown Indigenous status,no.,SA,9
Children commencing intensive family support services > 2024-25 > Children of unknown Indigenous status,no.,Tas,1312
Children commencing intensive family support services > 2024-25 > Children of unknown Indigenous status,no.,ACT,13
Children commencing intensive family support services > 2024-25 > Children of unknown Indigenous status,no.,NT,1
Children commencing intensive family support services > 2024-25 > All children,no.,NSW,11229
Children commencing intensive family support services > 2024-25 > All children,no.,Vic,8986
Children commencing intensive family support services > 2024-25 > All children,no.,Qld,10001
Children commencing intensive family support services > 2024-25 > All children,no.,WA,1424
Children commencing intensive family support services > 2024-25 > All children,no.,SA,3503
Children commencing intensive family support services > 2024-25 > All children,no.,Tas,1312
Children commencing intensive family support services > 2024-25 > All children,no.,ACT,193
Children commencing intensive family support services > 2024-25 > All children,no.,NT,508
Children commencing intensive family support services > 2023-24 > Aboriginal and Torres Strait Islander children,no.,NSW,3618
Children commencing intensive family support services > 2023-24 > Aboriginal and Torres Strait Islander children,no.,Vic,2289
Children commencing intensive family support services > 2023-24 > Aboriginal and Torres Strait Islander children,no.,Qld,4416
Children commencing intensive family support services > 2023-24 > Aboriginal and Torres Strait Islander children,no.,WA,829
Children commencing intensive family support services > 2023-24 > Aboriginal and Torres Strait Islander children,no.,SA,1642
Children commencing intensive family support services > 2023-24 > Aboriginal and Torres Strait Islander children,no.,Tas,na
Children commencing intensive family support services > 2023-24 > Aboriginal and Torres Strait Islander children,no.,ACT,73
Children commencing intensive family support services > 2023-24 > Aboriginal and Torres Strait Islander children,no.,NT,107
Children commencing intensive family support services > 2023-24 > Non-Indigenous children,no.,NSW,6136
Children commencing intensive family support services > 2023-24 > Non-Indigenous children,no.,Vic,6437
Children commencing intensive family support services > 2023-24 > Non-Indigenous children,no.,Qld,3874
Children commencing intensive family support services > 2023-24 > Non-Indigenous children,no.,WA,352
Children commencing intensive family support services > 2023-24 > Non-Indigenous children,no.,SA,2060
Children commencing intensive family support services > 2023-24 > Non-Indigenous children,no.,Tas,na
Children commencing intensive family support services > 2023-24 > Non-Indigenous children,no.,ACT,182
Children commencing intensive family support services > 2023-24 > Non-Indigenous children,no.,NT,44
Children commencing intensive family support services > 2023-24 > Children of unknown Indigenous status,no.,NSW,290
Children commencing intensive family support services > 2023-24 > Children of unknown Indigenous status,no.,Vic,0
Children commencing intensive family support services > 2023-24 > Children of unknown Indigenous status,no.,Qld,796
Children commencing intensive family support services > 2023-24 > Children of unknown Indigenous status,no.,WA,15
Children commencing intensive family support services > 2023-24 > Children of unknown Indigenous status,no.,SA,0
Children commencing intensive family support services > 2023-24 > Children of unknown Indigenous status,no.,Tas,1585
Children commencing intensive family support services > 2023-24 > Children of unknown Indigenous status,no.,ACT,5
Children commencing intensive family support services > 2023-24 > Children of unknown Indigenous status,no.,NT,3
Children commencing intensive family support services > 2023-24 > All children,no.,NSW,10044
Children commencing intensive family support services > 2023-24 > All children,no.,Vic,8726
Children commencing intensive family support services > 2023-24 > All children,no.,Qld,9086
Children commencing intensive family support services > 2023-24 > All children,no.,WA,1196
Children commencing intensive family support services > 2023-24 > All children,no.,SA,3702
Children commencing intensive family support services > 2023-24 > All children,no.,Tas,1585
Children commencing intensive family support services > 2023-24 > All children,no.,ACT,260
Children commencing intensive family support services > 2023-24 > All children,no.,NT,154
Children commencing intensive family support services > 2022-23 > Aboriginal and Torres Strait Islander children,no.,NSW,2929
Children commencing intensive family support services > 2022-23 > Aboriginal and Torres Strait Islander children,no.,Vic,1848
Children commencing intensive family support services > 2022-23 > Aboriginal and Torres Strait Islander children,no.,Qld,4934
Children commencing intensive family support services > 2022-23 > Aboriginal and Torres Strait Islander children,no.,WA,1010
Children commencing intensive family support services > 2022-23 > Aboriginal and Torres Strait Islander children,no.,SA,1147
Children commencing intensive family support services > 2022-23 > Aboriginal and Torres Strait Islander children,no.,Tas,na
Children commencing intensive family support services > 2022-23 > Aboriginal and Torres Strait Islander children,no.,ACT,225
Children commencing intensive family support services > 2022-23 > Aboriginal and Torres Strait Islander children,no.,NT,na
Children commencing intensive family support services > 2022-23 > Non-Indigenous children,no.,NSW,4780
Children commencing intensive family support services > 2022-23 > Non-Indigenous children,no.,Vic,6388
Children commencing intensive family support services > 2022-23 > Non-Indigenous children,no.,Qld,4381
Children commencing intensive family support services > 2022-23 > Non-Indigenous children,no.,WA,473
Children commencing intensive family support services > 2022-23 > Non-Indigenous children,no.,SA,1987
Children commencing intensive family support services > 2022-23 > Non-Indigenous children,no.,Tas,na
Children commencing intensive family support services > 2022-23 > Non-Indigenous children,no.,ACT,285
Children commencing intensive family support services > 2022-23 > Non-Indigenous children,no.,NT,na
Children commencing intensive family support services > 2022-23 > Children of unknown Indigenous status,no.,NSW,189
Children commencing intensive family support services > 2022-23 > Children of unknown Indigenous status,no.,Vic,0
Children commencing intensive family support services > 2022-23 > Children of unknown Indigenous status,no.,Qld,871
Children commencing intensive family support services > 2022-23 > Children of unknown Indigenous status,no.,WA,4
Children commencing intensive family support services > 2022-23 > Children of unknown Indigenous status,no.,SA,26
Children commencing intensive family support services > 2022-23 > Children of unknown Indigenous status,no.,Tas,1786
Children commencing intensive family support services > 2022-23 > Children of unknown Indigenous status,no.,ACT,29
Children commencing intensive family support services > 2022-23 > Children of unknown Indigenous status,no.,NT,na
Children commencing intensive family support services > 2022-23 > All children,no.,NSW,7898
Children commencing intensive family support services > 2022-23 > All children,no.,Vic,8236
Children commencing intensive family support services > 2022-23 > All children,no.,Qld,10186
Children commencing intensive family support services > 2022-23 > All children,no.,WA,1487
Children commencing intensive family support services > 2022-23 > All children,no.,SA,3160
Children commencing intensive family support services > 2022-23 > All children,no.,Tas,1786
Children commencing intensive family support services > 2022-23 > All children,no.,ACT,539
Children commencing intensive family support services > 2022-23 > All children,no.,NT,na
Children commencing intensive family support services > 2021-22 > Aboriginal and Torres Strait Islander children,no.,NSW,3602
Children commencing intensive family support services > 2021-22 > Aboriginal and Torres Strait Islander children,no.,Vic,1975
Children commencing intensive family support services > 2021-22 > Aboriginal and Torres Strait Islander children,no.,Qld,4788
Children commencing intensive family support services > 2021-22 > Aboriginal and Torres Strait Islander children,no.,WA,900
Children commencing intensive family support services > 2021-22 > Aboriginal and Torres Strait Islander children,no.,SA,1051
Children commencing intensive family support services > 2021-22 > Aboriginal and Torres Strait Islander children,no.,Tas,na
Children commencing intensive family support services > 2021-22 > Aboriginal and Torres Strait Islander children,no.,ACT,129
Children commencing intensive family support services > 2021-22 > Aboriginal and Torres Strait Islander children,no.,NT,na
Children commencing intensive family support services > 2021-22 > Non-Indigenous children,no.,NSW,5889
Children commencing intensive family support services > 2021-22 > Non-Indigenous children,no.,Vic,6365
Children commencing intensive family support services > 2021-22 > Non-Indigenous children,no.,Qld,4262
Children commencing intensive family support services > 2021-22 > Non-Indigenous children,no.,WA,482
Children commencing intensive family support services > 2021-22 > Non-Indigenous children,no.,SA,1778
Children commencing intensive family support services > 2021-22 > Non-Indigenous children,no.,Tas,na
Children commencing intensive family support services > 2021-22 > Non-Indigenous children,no.,ACT,157
Children commencing intensive family support services > 2021-22 > Non-Indigenous children,no.,NT,na
Children commencing intensive family support services > 2021-22 > Children of unknown Indigenous status,no.,NSW,194
Children commencing intensive family support services > 2021-22 > Children of unknown Indigenous status,no.,Vic,0
Children commencing intensive family support services > 2021-22 > Children of unknown Indigenous status,no.,Qld,947
Children commencing intensive family support services > 2021-22 > Children of unknown Indigenous status,no.,WA,20
Children commencing intensive family support services > 2021-22 > Children of unknown Indigenous status,no.,SA,33
Children commencing intensive family support services > 2021-22 > Children of unknown Indigenous status,no.,Tas,1739
Children commencing intensive family support services > 2021-22 > Children of unknown Indigenous status,no.,ACT,0
Children commencing intensive family support services > 2021-22 > Children of unknown Indigenous status,no.,NT,na
Children commencing intensive family support services > 2021-22 > All children,no.,NSW,9685
Children commencing intensive family support services > 2021-22 > All children,no.,Vic,8340
