category,unit,breakdown,value
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,no.,NSW,2141
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,no.,Vic,1240
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,no.,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,no.,WA,1028
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,no.,SA,592
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,no.,Tas,79
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,no.,ACT,72
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,no.,NT,129
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,no.,Aust,5281
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,no.,NSW,1508
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,no.,Vic,1224
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,no.,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,no.,WA,417
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,no.,SA,407
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,no.,Tas,126
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,no.,ACT,np
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,no.,NT,11
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,no.,Aust,3693
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,no.,NSW,3649
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,no.,Vic,2464
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,no.,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,no.,WA,1445
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,no.,SA,999
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,no.,Tas,205
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,no.,ACT,np
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,no.,NT,140
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,no.,Aust,8902
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,no.,NSW,782
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,no.,Vic,60
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,no.,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,no.,WA,147
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,no.,SA,97
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,no.,Tas,36
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,no.,ACT,np
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,no.,NT,46
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,no.,Aust,1168
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,no.,NSW,4431
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,no.,Vic,2524
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,no.,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,no.,WA,1592
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,no.,SA,1096
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,no.,Tas,241
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,no.,ACT,122
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,no.,NT,186
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,no.,Aust,10192
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Other non-Indigenous carer,no.,NSW,1396
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Other non-Indigenous carer,no.,Vic,347
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Other non-Indigenous carer,no.,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Other non-Indigenous carer,no.,WA,905
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Other non-Indigenous carer,no.,SA,406
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Other non-Indigenous carer,no.,Tas,157
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Other non-Indigenous carer,no.,ACT,55
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Other non-Indigenous carer,no.,NT,532
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Other non-Indigenous carer,no.,Aust,3798
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Residential care or family group home,no.,NSW,412
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Residential care or family group home,no.,Vic,142
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Residential care or family group home,no.,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Residential care or family group home,no.,WA,331
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Residential care or family group home,no.,SA,283
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Residential care or family group home,no.,Tas,40
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Residential care or family group home,no.,ACT,6
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Residential care or family group home,no.,NT,15
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Residential care or family group home,no.,Aust,1229
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Independent living/living arrangements unknown,no.,NSW,86
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Independent living/living arrangements unknown,no.,Vic,34
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Independent living/living arrangements unknown,no.,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Independent living/living arrangements unknown,no.,WA,0
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Independent living/living arrangements unknown,no.,SA,0
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Independent living/living arrangements unknown,no.,Tas,1
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Independent living/living arrangements unknown,no.,ACT,0
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Independent living/living arrangements unknown,no.,NT,0
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Independent living/living arrangements unknown,no.,Aust,121
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Total,no.,NSW,1894
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Total,no.,Vic,523
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Total,no.,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Total,no.,WA,1236
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Total,no.,SA,689
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Total,no.,Tas,198
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Total,no.,ACT,61
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Total,no.,NT,547
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Number of children > In another care arrangement > Total,no.,Aust,5148
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,%,NSW,33.8
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,%,Vic,40.7
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,%,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,%,WA,36.4
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,%,SA,33.2
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,%,Tas,18
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,%,ACT,39.3
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,%,NT,17.6
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Aboriginal and Torres Strait Islander relative/kin,%,Aust,34.4
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,%,NSW,23.8
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,%,Vic,40.2
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,%,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,%,WA,14.7
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,%,SA,22.8
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,%,Tas,28.7
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,%,ACT,np
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,%,NT,1.5
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Non-Indigenous relative/kin,%,Aust,24.4
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,%,NSW,57.7
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,%,Vic,80.9
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,%,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,%,WA,51.1
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,%,SA,56
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,%,Tas,46.7
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,%,ACT,np
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,%,NT,19.1
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total placed with relatives/kin,%,Aust,58.7
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,%,NSW,12.4
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,%,Vic,2
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,%,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,%,WA,5.2
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,%,SA,5.4
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,%,Tas,8.2
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,%,ACT,np
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,%,NT,6.3
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Other Aboriginal and Torres Strait Islander carer,%,Aust,7.7
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,%,NSW,70.1
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,%,Vic,82.8
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,%,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,%,WA,56.3
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,%,SA,61.4
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,%,Tas,54.9
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,%,ACT,66.7
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,%,NT,25.4
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > Placed with relatives/kin or other Aboriginal and Torres Strait Islander carer > Total,%,Aust,66.4
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > In another care arrangement > Other non-Indigenous carer,%,NSW,22.1
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > In another care arrangement > Other non-Indigenous carer,%,Vic,11.4
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > In another care arrangement > Other non-Indigenous carer,%,Qld,na
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > In another care arrangement > Other non-Indigenous carer,%,WA,32
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > In another care arrangement > Other non-Indigenous carer,%,SA,22.7
Aboriginal and Torres Strait Islander children > 2025 > Children in out-of-home care at 30 June > Proportion of children > In another care arrangement > Other non-Indigenous carer,%,Tas,35.8
