category,unit,breakdown,value
2024-25 > Number of investigations completed from notification date > 28 days or fewer,no.,NSW,2974
2024-25 > Number of investigations completed from notification date > 28 days or fewer,no.,Vic,14228
2024-25 > Number of investigations completed from notification date > 28 days or fewer,no.,Qld,na
2024-25 > Number of investigations completed from notification date > 28 days or fewer,no.,WA,1305
2024-25 > Number of investigations completed from notification date > 28 days or fewer,no.,SA,2841
2024-25 > Number of investigations completed from notification date > 28 days or fewer,no.,Tas,np
2024-25 > Number of investigations completed from notification date > 28 days or fewer,no.,ACT,34
2024-25 > Number of investigations completed from notification date > 28 days or fewer,no.,NT,194
2024-25 > Number of investigations completed from notification date > 28 days or fewer,no.,Aust,21576
2024-25 > Number of investigations completed from notification date > 29 to 62 days,no.,NSW,16500
2024-25 > Number of investigations completed from notification date > 29 to 62 days,no.,Vic,18038
2024-25 > Number of investigations completed from notification date > 29 to 62 days,no.,Qld,na
2024-25 > Number of investigations completed from notification date > 29 to 62 days,no.,WA,2509
2024-25 > Number of investigations completed from notification date > 29 to 62 days,no.,SA,3926
2024-25 > Number of investigations completed from notification date > 29 to 62 days,no.,Tas,np
2024-25 > Number of investigations completed from notification date > 29 to 62 days,no.,ACT,124
2024-25 > Number of investigations completed from notification date > 29 to 62 days,no.,NT,599
2024-25 > Number of investigations completed from notification date > 29 to 62 days,no.,Aust,41696
2024-25 > Number of investigations completed from notification date > 63 to 90 days,no.,NSW,9967
2024-25 > Number of investigations completed from notification date > 63 to 90 days,no.,Vic,7102
2024-25 > Number of investigations completed from notification date > 63 to 90 days,no.,Qld,na
2024-25 > Number of investigations completed from notification date > 63 to 90 days,no.,WA,2002
2024-25 > Number of investigations completed from notification date > 63 to 90 days,no.,SA,2009
2024-25 > Number of investigations completed from notification date > 63 to 90 days,no.,Tas,np
2024-25 > Number of investigations completed from notification date > 63 to 90 days,no.,ACT,213
2024-25 > Number of investigations completed from notification date > 63 to 90 days,no.,NT,641
2024-25 > Number of investigations completed from notification date > 63 to 90 days,no.,Aust,21934
2024-25 > Number of investigations completed from notification date > More than 90 days,no.,NSW,15263
2024-25 > Number of investigations completed from notification date > More than 90 days,no.,Vic,6915
2024-25 > Number of investigations completed from notification date > More than 90 days,no.,Qld,na
2024-25 > Number of investigations completed from notification date > More than 90 days,no.,WA,5829
2024-25 > Number of investigations completed from notification date > More than 90 days,no.,SA,2462
2024-25 > Number of investigations completed from notification date > More than 90 days,no.,Tas,np
2024-25 > Number of investigations completed from notification date > More than 90 days,no.,ACT,500
2024-25 > Number of investigations completed from notification date > More than 90 days,no.,NT,2297
2024-25 > Number of investigations completed from notification date > More than 90 days,no.,Aust,33266
2024-25 > Number of investigations completed from notification date > Total,no.,NSW,44704
2024-25 > Number of investigations completed from notification date > Total,no.,Vic,46283
2024-25 > Number of investigations completed from notification date > Total,no.,Qld,na
2024-25 > Number of investigations completed from notification date > Total,no.,WA,11645
2024-25 > Number of investigations completed from notification date > Total,no.,SA,11238
2024-25 > Number of investigations completed from notification date > Total,no.,Tas,np
2024-25 > Number of investigations completed from notification date > Total,no.,ACT,871
2024-25 > Number of investigations completed from notification date > Total,no.,NT,3731
2024-25 > Number of investigations completed from notification date > Total,no.,Aust,118472
2024-25 > Proportion of investigations completed from notification date > 28 days or fewer,%,NSW,6.7
2024-25 > Proportion of investigations completed from notification date > 28 days or fewer,%,Vic,30.7
2024-25 > Proportion of investigations completed from notification date > 28 days or fewer,%,Qld,na
2024-25 > Proportion of investigations completed from notification date > 28 days or fewer,%,WA,11.2
2024-25 > Proportion of investigations completed from notification date > 28 days or fewer,%,SA,25.3
2024-25 > Proportion of investigations completed from notification date > 28 days or fewer,%,Tas,np
2024-25 > Proportion of investigations completed from notification date > 28 days or fewer,%,ACT,3.9
2024-25 > Proportion of investigations completed from notification date > 28 days or fewer,%,NT,5.2
2024-25 > Proportion of investigations completed from notification date > 28 days or fewer,%,Aust,18.2
2024-25 > Proportion of investigations completed from notification date > 29 to 62 days,%,NSW,36.9
2024-25 > Proportion of investigations completed from notification date > 29 to 62 days,%,Vic,39
2024-25 > Proportion of investigations completed from notification date > 29 to 62 days,%,Qld,na
2024-25 > Proportion of investigations completed from notification date > 29 to 62 days,%,WA,21.5
2024-25 > Proportion of investigations completed from notification date > 29 to 62 days,%,SA,34.9
2024-25 > Proportion of investigations completed from notification date > 29 to 62 days,%,Tas,np
2024-25 > Proportion of investigations completed from notification date > 29 to 62 days,%,ACT,14.2
2024-25 > Proportion of investigations completed from notification date > 29 to 62 days,%,NT,16.1
2024-25 > Proportion of investigations completed from notification date > 29 to 62 days,%,Aust,35.2
2024-25 > Proportion of investigations completed from notification date > 63 to 90 days,%,NSW,22.3
2024-25 > Proportion of investigations completed from notification date > 63 to 90 days,%,Vic,15.3
2024-25 > Proportion of investigations completed from notification date > 63 to 90 days,%,Qld,na
2024-25 > Proportion of investigations completed from notification date > 63 to 90 days,%,WA,17.2
2024-25 > Proportion of investigations completed from notification date > 63 to 90 days,%,SA,17.9
2024-25 > Proportion of investigations completed from notification date > 63 to 90 days,%,Tas,np
2024-25 > Proportion of investigations completed from notification date > 63 to 90 days,%,ACT,24.5
2024-25 > Proportion of investigations completed from notification date > 63 to 90 days,%,NT,17.2
2024-25 > Proportion of investigations completed from notification date > 63 to 90 days,%,Aust,18.5
2024-25 > Proportion of investigations completed from notification date > More than 90 days,%,NSW,34.1
