STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,350361,21.57%,0.48%
VIC,403472,24.85%,0.55%
QLD,329916,20.31%,0.36%
SA,176262,10.85%,0.76%
WA,264497,16.28%,0.19%
TAS,50761,3.13%,0.93%
NT,13059,0.80%,-0.03%
ACT,35858,2.21%,0.63%
TOTAL,1624186,100.00%,0.47%
