STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,392604,22.19%,0.46%
VIC,443637,25.07%,0.42%
QLD,350123,19.79%,0.31%
SA,200443,11.33%,0.57%
WA,275462,15.57%,0.19%
TAS,54122,3.06%,0.16%
NT,13451,0.76%,0.25%
ACT,39408,2.23%,0.24%
TOTAL,1769250,100.00%,0.37%
