STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2212988,46.15%,-0.07%
VIC,503624,10.50%,-0.12%
QLD,704782,14.70%,-0.11%
SA,594777,12.40%,0.26%
WA,562371,11.73%,-0.24%
TAS,174353,3.64%,-0.10%
NT,10480,0.22%,-0.08%
ACT,31305,0.65%,0.11%
Other,160,0.00%,0.00%
TOTAL,4794840,100.00%,-0.06%
