STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1968147,46.02%,-0.03%
VIC,426379,9.97%,0.04%
QLD,617256,14.43%,0.04%
SA,653459,15.28%,0.24%
WA,440306,10.30%,0.00%
TAS,139172,3.25%,-0.02%
NT,7124,0.17%,0.11%
ACT,24783,0.58%,0.12%
TOTAL,4276626,100.00%,0.03%
