State,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,446175,22.98%,1.20%
VIC,486140,25.04%,0.89%
QLD,385290,19.85%,0.92%
SA,219773,11.32%,0.59%
WA,289295,14.90%,0.50%
TAS,57418,2.96%,0.72%
NT,13974,0.72%,0.57%
ACT,43395,2.24%,0.86%
TOTAL,1941460,100%,0.87%
