State,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,146,3838,18006,25644,29927,32704,59187,169452,5.7%
VIC,108,5151,30498,34857,34205,32107,44218,181144,7.9%
QLD,90,2965,16845,23437,27328,28058,43124,141847,7.7%
SA,3033,9162,13796,11923,13693,14130,23604,89341,13.3%
WA,28,2706,17259,19860,21481,20598,27859,109791,10.7%
TAS,10,559,2690,3135,3805,4516,6365,21080,10.3%
NT,1,111,841,1064,1140,1029,807,4993,5.0%
ACT,10,595,3318,3367,3197,2781,3481,16749,11.0%
TOTAL,3426,25087,103253,123287,134776,135923,208645,734397,7.9%
