STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2001602,47.03%,-0.02%
VIC,432643,10.17%,-0.04%
QLD,619289,14.55%,0.00%
SA,582260,13.68%,0.30%
WA,445952,10.48%,-0.06%
TAS,142619,3.35%,-0.05%
NT,7280,0.17%,-0.21%
ACT,24311,0.57%,0.04%
TOTAL,4255956,100.00%,0.02%
