STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,254,7483,33224,41862,38330,40375,55084,216612,7.40%
VIC,398,20177,56743,54971,42765,38353,40873,254280,11.19%
QLD,355,13005,37139,42524,38605,36413,38434,206475,11.58%
SA,2282,13301,16891,17606,17266,17647,22039,107032,15.82%
WA,147,13640,34549,33484,29722,26336,25540,163418,17.51%
TAS,104,2662,5582,6010,6157,6232,5680,32427,15.63%
NT,9,708,2222,1978,1665,1160,587,8329,11.40%
ACT,44,2046,5549,4714,3706,3082,3096,22237,14.77%
TOTAL,3593,73022,191899,203149,178216,169598,191333,1010810,11.20%
