STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,357238,21.67%,0.55%
VIC,409850,24.86%,0.43%
QLD,333109,20.21%,0.27%
SA,180502,10.95%,0.52%
WA,266362,16.16%,0.21%
TAS,51903,3.15%,0.57%
NT,13109,0.80%,0.12%
ACT,36541,2.22%,0.70%
TOTAL,1648614,100.00%,0.40%
