STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1995527,46.90%,-0.04%
VIC,429869,10.10%,-0.03%
QLD,618454,14.53%,0.00%
SA,594842,13.98%,0.29%
WA,443534,10.42%,-0.01%
TAS,141437,3.32%,-0.08%
NT,7193,0.17%,-0.03%
ACT,24277,0.57%,0.09%
TOTAL,4255133,100.00%,0.01%
