STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,5424,184936,235842,222838,168759,155261,973060,32.68%
VIC,4409,52821,60812,51977,38917,35209,244145,10.60%
QLD,11469,88400,79434,56413,35176,25257,296149,16.28%
SA,24385,60183,58863,57115,45778,41039,287363,42.00%
WA,1754,27820,55492,54501,41513,38866,219946,23.89%
TAS,504,8087,16336,17372,13654,13722,69675,33.52%
NT,156,792,1194,1023,588,259,4012,4.78%
ACT,490,2784,3748,3023,2209,1785,14039,9.46%
TOTAL,48591,425823,511721,464262,346594,311398,2108389,23.06%
