STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,307293,22.42%,0.83%
VIC,329836,24.06%,1.08%
QLD,291535,21.27%,0.79%
SA,137901,10.06%,1.06%
WA,223189,16.28%,1.04%
TAS,42499,3.10%,1.16%
NT,10424,0.76%,1.99%
ACT,27946,2.04%,1.63%
TOTAL,1370623,100.00%,0.97%
