measure,forest_type,log_type,state,financial_year,date,units,value
Plantation area,Softwood,,South Australia,1951-52,1951-07-01,’000 ha,46.8
Plantation area,Softwood,,South Australia,1952-53,1952-07-01,’000 ha,47.9
Plantation area,Softwood,,South Australia,1953-54,1953-07-01,’000 ha,55.1
Plantation area,Softwood,,South Australia,1954-55,1954-07-01,’000 ha,54.6
Plantation area,Softwood,,South Australia,1955-56,1955-07-01,’000 ha,57
Plantation area,Softwood,,South Australia,1956-57,1956-07-01,’000 ha,57.3
Plantation area,Softwood,,South Australia,1957-58,1957-07-01,’000 ha,57
Plantation area,Softwood,,South Australia,1958-59,1958-07-01,’000 ha,57.5
Plantation area,Softwood,,South Australia,1959-60,1959-07-01,’000 ha,57.5
Plantation area,Softwood,,South Australia,1960-61,1960-07-01,’000 ha,59.1
Plantation area,Softwood,,South Australia,1961-62,1961-07-01,’000 ha,60.8
Plantation area,Softwood,,South Australia,1962-63,1962-07-01,’000 ha,62.4
Plantation area,Softwood,,South Australia,1963-64,1963-07-01,’000 ha,66.3
Plantation area,Softwood,,South Australia,1964-65,1964-07-01,’000 ha,69.3
Plantation area,Softwood,,South Australia,1965-66,1965-07-01,’000 ha,71.9
Plantation area,Softwood,,South Australia,1966-67,1966-07-01,’000 ha,74
Plantation area,Softwood,,South Australia,1967-68,1967-07-01,’000 ha,77
Plantation area,Softwood,,South Australia,1968-69,1968-07-01,’000 ha,79.6
Plantation area,Softwood,,South Australia,1969-70,1969-07-01,’000 ha,81.7
Plantation area,Softwood,,South Australia,1970-71,1970-07-01,’000 ha,83.6
Plantation area,Softwood,,South Australia,1971-72,1971-07-01,’000 ha,86.2
Plantation area,Softwood,,South Australia,1973-74,1973-07-01,’000 ha,90.1
Plantation area,Softwood,,South Australia,1974-75,1974-07-01,’000 ha,93.8
Plantation area,Softwood,,South Australia,1975-76,1975-07-01,’000 ha,90.1
Plantation area,Softwood,,South Australia,1976-77,1976-07-01,’000 ha,89.3
Plantation area,Softwood,,South Australia,1977-78,1977-07-01,’000 ha,91.2
Plantation area,Softwood,,South Australia,1978-79,1978-07-01,’000 ha,92.1
Plantation area,Softwood,,South Australia,1979-80,1979-07-01,’000 ha,94.5
Plantation area,Softwood,,South Australia,1980-81,1980-07-01,’000 ha,94.6
Plantation area,Softwood,,South Australia,1981-82,1981-07-01,’000 ha,96.9
Plantation area,Softwood,,South Australia,1982-83,1982-07-01,’000 ha,78.9
Plantation area,Softwood,,South Australia,1983-84,1983-07-01,’000 ha,80.3
Plantation area,Softwood,,South Australia,1984-85,1984-07-01,’000 ha,82.2
Plantation area,Softwood,,South Australia,1985-86,1985-07-01,’000 ha,86.5
Plantation area,Softwood,,South Australia,1986-87,1986-07-01,’000 ha,89.8
Plantation area,Softwood,,South Australia,1987-88,1987-07-01,’000 ha,92.3
