STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,387264,22.12%,0.68%
VIC,438383,25.03%,0.49%
QLD,347649,19.85%,0.27%
SA,197345,11.27%,0.67%
WA,274129,15.65%,0.21%
TAS,53752,3.07%,0.09%
NT,13427,0.77%,0.00%
ACT,39158,2.24%,0.37%
TOTAL,1751107,100.00%,0.44%
