STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2073091,47.21%,-0.21%
VIC,460516,10.49%,-0.45%
QLD,637791,14.53%,-0.27%
SA,544532,12.40%,-0.20%
WA,488067,11.12%,-0.35%
TAS,150931,3.44%,-0.55%
NT,9625,0.22%,-0.82%
ACT,26277,0.60%,-0.88%
TOTAL,4390830,100.00%,-0.28%
