STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2024236,47.24%,-0.04%
VIC,442131,10.32%,-0.02%
QLD,625155,14.59%,0.00%
SA,555499,12.96%,0.19%
WA,459699,10.73%,-0.15%
TAS,145258,3.39%,-0.07%
NT,7714,0.18%,-0.49%
ACT,24915,0.58%,0.37%
TOTAL,4284607,100.00%,-0.01%
