state,state_abbrev,snapshot_date,lga,net_total_dva_clients,total_veterans,total_dependants,disability_compensation_payment,war_widows,service_pensioners,ss_age_pensioners,gold_card_holders,white_card_holders
Western Australia,WA,2026-01-02,Albany,518,383,137,127,55,143,7,190,228
Western Australia,WA,2026-01-02,Murray,517,394,125,150,36,127,7,195,223
Western Australia,WA,2026-01-02,South Perth,480,364,118,91,65,77,Under 5,163,243
Western Australia,WA,2026-01-02,Greater Geraldton,469,348,121,120,45,139,Under 5,150,225
Western Australia,WA,2026-01-02,Fremantle,436,371,67,80,28,72,Under 5,130,249
Western Australia,WA,2026-01-02,Serpentine-Jarrahdale,433,373,60,105,13,76,6,117,260
Western Australia,WA,2026-01-02,Bunbury,409,290,120,112,55,122,8,152,173
Western Australia,WA,2026-01-02,Belmont,409,293,119,82,49,118,Under 5,136,184
Western Australia,WA,2026-01-02,Harvey,358,293,65,105,22,75,Under 5,109,195
Western Australia,WA,2026-01-02,Victoria Park,318,242,76,63,38,67,Under 5,104,164
Western Australia,WA,2026-01-02,Vincent,289,234,56,42,15,66,Under 5,55,158
Western Australia,WA,2026-01-02,Nedlands,289,231,58,32,40,20,0,88,159
Western Australia,WA,2026-01-02,Capel,239,179,60,60,12,68,Under 5,72,113
Western Australia,WA,2026-01-02,Cambridge,237,175,62,42,30,36,0,83,118
Western Australia,WA,2026-01-02,Perth,214,195,19,36,9,12,Under 5,50,143
Western Australia,WA,2026-01-02,Dardanup,205,147,59,65,21,74,6,86,77
Western Australia,WA,2026-01-02,Bassendean,186,134,52,31,27,42,0,58,84
Western Australia,WA,2026-01-02,Subiaco,184,145,39,33,22,22,0,62,92
Western Australia,WA,2026-01-02,Karratha,180,171,9,18,5,Under 5,0,22,142
Western Australia,WA,2026-01-02,Kalgoorlie-Boulder,163,140,23,37,11,16,Under 5,43,96
Western Australia,WA,2026-01-02,Augusta Margaret River,144,112,32,44,13,35,5,56,67
Western Australia,WA,2026-01-02,Claremont,137,93,44,30,27,20,Under 5,64,54
Western Australia,WA,2026-01-02,Collie,134,109,25,43,5,36,0,43,59
Western Australia,WA,2026-01-02,Northam,128,103,25,42,10,30,Under 5,43,65
Western Australia,WA,2026-01-02,Broome,120,107,14,31,Under 5,15,0,31,75
Western Australia,WA,2026-01-02,Manjimup,118,98,23,34,6,31,7,41,61
Western Australia,WA,2026-01-02,Gingin,117,88,30,41,7,51,0,55,35
Western Australia,WA,2026-01-02,Esperance,115,87,29,34,8,39,0,39,53
Western Australia,WA,2026-01-02,Chittering,109,92,17,29,Under 5,19,Under 5,29,57
Western Australia,WA,2026-01-02,East Fremantle,106,90,16,22,11,9,0,34,57
Western Australia,WA,2026-01-02,Bridgetown-Greenbushes,100,79,21,30,7,22,Under 5,38,49
Western Australia,WA,2026-01-02,Denmark,98,78,20,28,Under 5,34,Under 5,40,37
Western Australia,WA,2026-01-02,Plantagenet,97,72,25,27,9,33,Under 5,36,38
Western Australia,WA,2026-01-02,Mosman Park,94,77,17,19,9,16,0,36,44
Western Australia,WA,2026-01-02,Toodyay,93,69,25,25,12,25,0,44,35
Western Australia,WA,2026-01-02,Donnybrook-Balingup,91,69,22,35,6,22,Under 5,36,37
Western Australia,WA,2026-01-02,Waroona,81,62,19,17,6,8,Under 5,29,39
Western Australia,WA,2026-01-02,York,79,66,13,26,Under 5,24,0,29,37
Western Australia,WA,2026-01-02,Port Hedland,76,75,Under 5,11,0,Under 5,0,5,63
Western Australia,WA,2026-01-02,Irwin,75,54,21,26,6,33,0,36,22
Western Australia,WA,2026-01-02,Cottesloe,69,48,21,12,15,8,0,29,31
Western Australia,WA,2026-01-02,Dandaragan,67,49,19,26,Under 5,19,6,29,20
Western Australia,WA,2026-01-02,Exmouth,56,51,5,10,Under 5,8,0,13,41
Western Australia,WA,2026-01-02,Ashburton,46,45,Under 5,Under 5,Under 5,0,0,8,34
Western Australia,WA,2026-01-02,Narrogin,43,32,11,11,7,8,0,17,21
Western Australia,WA,2026-01-02,Northampton,36,29,7,17,Under 5,11,0,16,16
Western Australia,WA,2026-01-02,Beverley,35,24,11,12,Under 5,16,0,16,11
Western Australia,WA,2026-01-02,Wyndham-East Kimberley,35,33,Under 5,Under 5,Under 5,Under 5,0,5,28
Western Australia,WA,2026-01-02,Nannup,33,25,8,12,Under 5,9,Under 5,12,15
Western Australia,WA,2026-01-02,Carnarvon,32,27,5,Under 5,Under 5,6,0,6,16
Western Australia,WA,2026-01-02,Boyup Brook,31,28,Under 5,11,Under 5,6,Under 5,11,18
Western Australia,WA,2026-01-02,East Pilbara,29,29,0,5,0,0,0,0,24
Western Australia,WA,2026-01-02,Derby-West Kimberley,29,27,Under 5,6,0,Under 5,Under 5,8,19
Western Australia,WA,2026-01-02,Katanning,28,20,8,9,Under 5,6,Under 5,12,10
Western Australia,WA,2026-01-02,Wagin,26,20,6,Under 5,Under 5,Under 5,Under 5,10,14
Western Australia,WA,2026-01-02,Coolgardie,26,23,Under 5,7,Under 5,6,0,6,16
Western Australia,WA,2026-01-02,Moora,25,13,12,Under 5,8,6,0,15,5
Western Australia,WA,2026-01-02,Boddington,22,18,Under 5,8,Under 5,5,0,7,11
Western Australia,WA,2026-01-02,Merredin,22,15,7,11,Under 5,6,Under 5,7,11
Western Australia,WA,2026-01-02,Chapman Valley,20,14,6,Under 5,Under 5,7,0,8,7
Western Australia,WA,2026-01-02,Bruce Rock,18,12,6,10,Under 5,12,0,11,Under 5
Western Australia,WA,2026-01-02,Peppermint Grove,17,11,6,5,Under 5,Under 5,0,9,Under 5
Western Australia,WA,2026-01-02,Ravensthorpe,17,12,5,6,Under 5,7,0,9,5
Western Australia,WA,2026-01-02,Kojonup,17,12,5,5,Under 5,5,0,7,8
Western Australia,WA,2026-01-02,Coorow,17,12,5,5,Under 5,5,0,10,5
Western Australia,WA,2026-01-02,Cuballing,17,15,Under 5,7,0,6,0,6,8
Western Australia,WA,2026-01-02,Shark Bay,13,9,Under 5,Under 5,0,5,0,5,Under 5
Western Australia,WA,2026-01-02,Corrigin,11,9,Under 5,Under 5,0,Under 5,0,Under 5,6
Western Australia,WA,2026-01-02,Halls Creek,11,11,0,Under 5,0,Under 5,0,Under 5,7
Western Australia,WA,2026-01-02,Pingelly,11,9,Under 5,Under 5,Under 5,Under 5,0,Under 5,5
Western Australia,WA,2026-01-02,Cranbrook,11,9,Under 5,5,0,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Wongan-Ballidu,11,8,Under 5,Under 5,Under 5,5,0,Under 5,5
Western Australia,WA,2026-01-02,Broomehill-Tambellup,10,10,0,Under 5,0,0,0,Under 5,9
Western Australia,WA,2026-01-02,Jerramungup,10,9,Under 5,5,0,5,0,6,Under 5
Western Australia,WA,2026-01-02,Three Springs,8,6,Under 5,Under 5,Under 5,Under 5,0,Under 5,5
Western Australia,WA,2026-01-02,Dumbleyung,8,6,Under 5,Under 5,0,Under 5,Under 5,Under 5,Under 5
Western Australia,WA,2026-01-02,Dundas,8,7,Under 5,Under 5,0,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Brookton,7,7,0,5,0,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Cunderdin,7,6,Under 5,Under 5,0,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Goomalling,7,5,Under 5,Under 5,0,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Williams,7,6,Under 5,Under 5,Under 5,0,0,5,Under 5
Western Australia,WA,2026-01-02,Meekatharra,7,5,Under 5,Under 5,Under 5,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Carnamah,6,6,0,Under 5,0,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Christmas Island,6,6,0,0,0,0,0,0,6
Western Australia,WA,2026-01-02,Dowerin,6,Under 5,Under 5,Under 5,0,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Wandering,6,6,0,Under 5,0,0,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Mukinbudin,6,5,Under 5,Under 5,Under 5,0,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Mount Magnet,6,6,0,Under 5,0,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Mingenew,6,Under 5,Under 5,Under 5,0,5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Leonora,6,6,0,Under 5,0,0,Under 5,Under 5,Under 5
Western Australia,WA,2026-01-02,Narembeen,6,5,Under 5,Under 5,0,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Victoria Plains,5,5,0,Under 5,0,0,0,0,5
Western Australia,WA,2026-01-02,Cue,5,Under 5,Under 5,Under 5,Under 5,Under 5,0,Under 5,0
Western Australia,WA,2026-01-02,Quairading,5,Under 5,Under 5,Under 5,0,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Dalwallinu,5,5,0,Under 5,0,0,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Nungarin,5,Under 5,Under 5,0,Under 5,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Wickepin,5,Under 5,Under 5,0,0,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Mount Marshall,5,Under 5,Under 5,Under 5,Under 5,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Yilgarn,5,5,0,Under 5,0,0,0,Under 5,Under 5
Western Australia,WA,2026-01-02,West Arthur,5,Under 5,Under 5,0,0,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Lake Grace,Under 5,Under 5,0,Under 5,0,Under 5,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Woodanilling,Under 5,Under 5,Under 5,Under 5,0,Under 5,Under 5,Under 5,Under 5
Western Australia,WA,2026-01-02,Kulin,Under 5,Under 5,0,0,0,0,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Kellerberrin,Under 5,Under 5,Under 5,Under 5,Under 5,0,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Gnowangerup,Under 5,Under 5,Under 5,Under 5,Under 5,0,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Wyalkatchem,Under 5,Under 5,0,Under 5,0,0,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Kondinin,Under 5,Under 5,0,0,0,0,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Sandstone,Under 5,Under 5,Under 5,Under 5,0,Under 5,0,Under 5,0
Western Australia,WA,2026-01-02,Westonia,Under 5,Under 5,0,Under 5,0,0,0,Under 5,Under 5
Western Australia,WA,2026-01-02,Tammin,Under 5,Under 5,0,0,0,0,0,0,Under 5
Western Australia,WA,2026-01-02,Trayning,Under 5,0,Under 5,0,Under 5,Under 5,0,Under 5,0
Western Australia,WA,2026-01-02,Koorda,Under 5,Under 5,Under 5,0,0,Under 5,0,0,Under 5
Western Australia,WA,2026-01-02,Perenjori,Under 5,0,Under 5,0,Under 5,0,0,Under 5,0
Western Australia,WA,2026-01-02,Kent,Under 5,Under 5,0,0,0,0,0,0,0
Western Australia,WA,2026-01-02,Laverton,Under 5,Under 5,0,0,0,0,0,0,0
Western Australia,WA,2026-01-02,Upper Gascoyne,Under 5,Under 5,0,0,0,0,0,0,Under 5
Tasmania,Tas,2026-01-02,Clarence,1105,864,248,246,115,221,16,367,566
Tasmania,Tas,2026-01-02,Launceston,913,667,250,195,135,179,13,313,444
Tasmania,Tas,2026-01-02,Kingborough,724,570,155,173,64,145,10,212,400
Tasmania,Tas,2026-01-02,Hobart,660,547,115,125,59,78,Under 5,179,361
Tasmania,Tas,2026-01-02,Glenorchy,653,497,158,173,79,130,9,227,304
Tasmania,Tas,2026-01-02,Devonport,506,385,123,123,37,149,9,165,234
Tasmania,Tas,2026-01-02,West Tamar,476,376,103,129,33,116,10,164,226
Tasmania,Tas,2026-01-02,Central Coast ,402,325,79,120,38,87,Under 5,150,197
Tasmania,Tas,2026-01-02,Huon Valley,383,320,64,110,21,67,6,134,193
Tasmania,Tas,2026-01-02,Sorell,370,298,73,101,24,85,5,122,193
Tasmania,Tas,2026-01-02,Meander Valley,342,261,82,99,26,89,6,120,158
Tasmania,Tas,2026-01-02,Burnie,276,219,57,63,29,54,Under 5,90,144
Tasmania,Tas,2026-01-02,Latrobe,261,196,68,79,24,77,7,98,119
Tasmania,Tas,2026-01-02,Brighton,248,208,42,64,16,54,Under 5,66,142
Tasmania,Tas,2026-01-02,Waratah-Wynyard,243,186,58,66,22,64,Under 5,82,121
Tasmania,Tas,2026-01-02,Northern Midlands,232,184,48,70,18,63,Under 5,84,116
Tasmania,Tas,2026-01-02,Derwent Valley,197,159,38,51,16,40,0,61,105
Tasmania,Tas,2026-01-02,Break O'Day,189,141,49,58,20,65,Under 5,80,74
Tasmania,Tas,2026-01-02,Kentish,165,131,35,53,11,33,0,56,84
Tasmania,Tas,2026-01-02,George Town,160,123,38,49,9,54,Under 5,57,65
Tasmania,Tas,2026-01-02,Southern Midlands,111,97,14,39,Under 5,24,Under 5,38,60
Tasmania,Tas,2026-01-02,Circular Head,108,82,26,21,9,17,0,39,51
Tasmania,Tas,2026-01-02,Dorset,104,82,22,36,6,30,Under 5,44,42
Tasmania,Tas,2026-01-02,Glamorgan-Spring Bay,98,79,20,37,7,23,6,37,47
Tasmania,Tas,2026-01-02,West Coast,70,60,10,25,5,15,Under 5,32,28
Tasmania,Tas,2026-01-02,Tasman,66,51,15,21,7,15,Under 5,26,32
Tasmania,Tas,2026-01-02,Central Highlands ,53,44,9,21,Under 5,16,Under 5,20,25
Tasmania,Tas,2026-01-02,King Island,14,11,Under 5,Under 5,Under 5,0,0,5,8
Tasmania,Tas,2026-01-02,Flinders (Tas.),13,11,Under 5,6,Under 5,Under 5,0,7,5
Northern Territory,NT,2026-01-02,Darwin,2730,2612,121,266,49,100,10,281,2267
Northern Territory,NT,2026-01-02,Palmerston,1820,1733,87,170,25,52,Under 5,265,1432
Northern Territory,NT,2026-01-02,Litchfield,906,854,53,116,12,54,Under 5,172,680
Northern Territory,NT,2026-01-02,Katherine,507,504,Under 5,20,Under 5,Under 5,0,27,469
Northern Territory,NT,2026-01-02,Alice Springs,197,183,14,28,7,13,0,28,146
Northern Territory,NT,2026-01-02,Unincorporated NT,85,80,5,19,Under 5,8,Under 5,24,57
Northern Territory,NT,2026-01-02,Coomalie,26,23,Under 5,7,0,8,0,9,14
Northern Territory,NT,2026-01-02,Darwin Waterfront Precinct,22,21,Under 5,Under 5,Under 5,0,0,Under 5,20
Northern Territory,NT,2026-01-02,Victoria Daly,17,14,Under 5,Under 5,Under 5,5,0,Under 5,10
Northern Territory,NT,2026-01-02,Roper Gulf,15,12,Under 5,Under 5,Under 5,Under 5,0,Under 5,9
Northern Territory,NT,2026-01-02,West Arnhem,13,12,Under 5,Under 5,Under 5,0,0,Under 5,8
Northern Territory,NT,2026-01-02,Barkly,13,13,0,Under 5,0,Under 5,0,Under 5,11
Northern Territory,NT,2026-01-02,East Arnhem,11,11,0,0,0,0,0,Under 5,8
Northern Territory,NT,2026-01-02,Wagait,10,8,Under 5,Under 5,Under 5,Under 5,0,Under 5,5
Northern Territory,NT,2026-01-02,MacDonnell,5,5,0,Under 5,0,0,0,0,5
Northern Territory,NT,2026-01-02,Central Desert,Under 5,Under 5,0,Under 5,0,0,0,0,Under 5
Northern Territory,NT,2026-01-02,Tiwi Islands,Under 5,Under 5,0,0,0,0,0,0,Under 5
Northern Territory,NT,2026-01-02,West Daly,Under 5,Under 5,0,0,0,0,0,0,Under 5
Northern Territory,NT,2026-01-02,Groote Archipelago,Under 5,Under 5,0,0,0,0,0,0,Under 5
Australian Capital Territory,ACT,2026-01-02,Unincorporated ACT,15621,14311,1338,2260,594,817,56,2730,11787
