financial_year,category,number,pct
2021-22,Abuse of power for personal or financial gain / Bribery,21,72.73
2021-22,Assault,1,3.03
2021-22,Breach of ICAC Act provisions regarding disclosure of information,1,3.03
2021-22,Bribery,3,9.09
2021-22,Failing to act honestly,4,12.12
2021-22,Improper use or disclosure of information/systems,2,6.06
2021-22,"Offences associated with the use, sale or supply of prescription and/or illicit drugs",1,3.03
2022-23,Deception or abuse of power associated with employment or appointment to public office,29,100
