financial_year,type,received_by_iis,received_by_opi,total
2020-21,Complaints,400,1593,1993
2020-21,Reports,397,23,420
2020-21,Protective Security Officers,,,
2020-21,Total,797,1616,2413
2019-20,Complaints,313,1806,2119
2019-20,Reports,416,13,429
2019-20,Protective Security Officers,,,
2019-20,Total,729,1819,2548
2018-19,Complaints,279,1655,1934
2018-19,Reports,359,10,369
2018-19,Protective Security Officers,6,0,6
2018-19,Total,644,1665,2309
2017-18,Complaints,216,1459,1675
2017-18,Reports,283,27,310
2017-18,Protective Security Officers,5,0,5
2017-18,Total,504,1486,1990
