STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,322194,22.13%,0.49%
VIC,351833,24.17%,0.81%
QLD,305453,20.98%,0.45%
SA,149726,10.29%,1.13%
WA,239279,16.44%,0.76%
TAS,45003,3.09%,0.55%
NT,11473,0.79%,0.76%
ACT,30677,2.11%,0.94%
TOTAL,1455638,100.00%,0.68%
