STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,182,10481,26762,34075,32549,35200,39922,179171,6.36%
VIC,325,21929,42340,41684,33422,29743,27142,196585,9.13%
QLD,368,15621,31508,34883,33301,31318,26979,173978,10.28%
SA,1784,10837,11799,13335,13189,13748,14424,79116,12.01%
WA,214,15598,26705,27006,24508,20802,17334,132167,15.61%
TAS,70,2484,4236,4915,5083,4955,3732,25475,12.63%
NT,15,698,1727,1508,1193,804,323,6268,7.98%
ACT,68,1918,3869,3360,2694,2397,1909,16215,11.57%
TOTAL,3026,79566,148946,160766,145939,138967,131765,808975,9.42%
