STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,300985,22.56%,0.66%
VIC,320414,24.02%,0.81%
QLD,285320,21.39%,0.75%
SA,133056,9.97%,0.92%
WA,216240,16.21%,0.94%
TAS,41374,3.10%,0.61%
NT,9932,0.74%,1.14%
ACT,26688,2.00%,0.84%
TOTAL,1334009,100.00%,0.79%
