STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2031780,47.25%,-0.06%
VIC,444302,10.33%,-0.15%
QLD,627803,14.60%,-0.08%
SA,551458,12.82%,0.07%
WA,465965,10.84%,-0.21%
TAS,146066,3.40%,-0.09%
NT,7896,0.18%,-0.60%
ACT,25066,0.58%,-0.36%
TOTAL,4300336,100.00%,-0.08%
