STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,296,11568,28085,34844,31375,33526,35357,175051,6.37%
VIC,484,20927,36825,36816,30651,26866,23347,175916,8.48%
QLD,475,14788,26841,29264,29394,27794,23018,151574,9.48%
SA,2684,8625,9308,10469,10835,11594,11913,65428,10.30%
WA,333,13679,21971,21986,20547,17481,14316,110313,13.62%
TAS,111,2353,3516,3934,4411,4256,3175,21756,11.03%
NT,21,708,1767,1609,1099,760,298,6262,8.78%
ACT,70,1692,3211,2786,2306,2060,1532,13657,10.26%
TOTAL,4474,74340,131524,141708,130618,124337,112956,719957,8.71%
