STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,455,8442,36731,46583,42779,43963,63934,242887,8.20%
VIC,315,18127,61895,59160,48114,42611,48071,278293,12.00%
QLD,264,10584,39614,44645,41309,38934,44563,219913,12.10%
SA,3007,13895,20508,19130,18812,19159,25420,119931,17.60%
WA,124,10365,36310,35067,31407,27745,29376,170394,17.70%
TAS,55,2319,5935,6183,6429,6512,6674,34107,16.40%
NT,12,525,2297,2079,1744,1244,698,8599,10.20%
ACT,40,1810,5997,5251,4048,3404,3699,24249,15.90%
TOTAL,4272,66067,209287,218098,194642,183572,222435,1098373,12.00%
