STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,397087,22.28%,0.65%
VIC,446944,25.08%,0.42%
QLD,352166,19.76%,0.37%
SA,202408,11.36%,0.52%
WA,276296,15.50%,0.19%
TAS,54242,3.04%,0.14%
NT,13433,0.75%,-0.04%
ACT,39685,2.23%,0.43%
TOTAL,1782261,100.00%,0.42%
