STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,168,3207,16540,24441,27154,29998,52692,154200,5.40%
VIC,92,6144,28854,33647,31520,29661,38733,168651,7.60%
QLD,48,3176,16532,22824,25389,26297,37987,132253,7.40%
SA,2849,9254,11419,11573,12839,13378,21165,82477,12.50%
WA,40,4019,16898,19849,20458,19666,24972,105902,10.90%
TAS,7,722,2641,3055,3695,4378,5637,20135,9.90%
NT,1,150,873,1036,1100,984,690,4834,5.10%
ACT,7,716,3102,3166,2924,2566,2955,15436,10.40%
TOTAL,3212,27388,96859,119591,125079,126928,184831,683888,7.60%
