STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,390823,22.17%,0.44%
VIC,441778,25.06%,0.36%
QLD,349040,19.80%,0.17%
SA,199305,11.31%,0.53%
WA,274936,15.60%,0.14%
TAS,54036,3.07%,0.14%
NT,13418,0.76%,0.02%
ACT,39312,2.23%,0.26%
TOTAL,1762648,100.00%,0.31%
