STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,175,3217,16388,24291,26831,29651,51399,151952,5.30%
VIC,87,6422,28589,33472,31108,29280,37935,166893,7.50%
QLD,47,3277,16501,22798,25239,26096,37372,131330,7.40%
SA,2769,9139,10974,11528,12709,13299,20799,81217,12.30%
WA,43,4291,16869,19853,20306,19615,24552,105529,10.80%
TAS,13,763,2635,3061,3719,4351,5558,20100,9.90%
NT,2,155,882,1041,1093,977,676,4826,5.10%
ACT,8,753,3070,3152,2893,2515,2888,15279,10.20%
TOTAL,3144,28017,95908,119196,123898,125784,181179,677126,7.60%
