STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,343279,21.63%,0.36%
VIC,392346,24.72%,0.67%
QLD,324424,20.44%,0.36%
SA,169665,10.69%,1.03%
WA,260853,16.44%,0.53%
TAS,48911,3.08%,1.32%
NT,12827,0.81%,0.26%
ACT,34782,2.19%,0.76%
TOTAL,1587087,100.00%,0.57%
