STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2060340,47.29%,-0.13%
VIC,454511,10.43%,-0.21%
QLD,633663,14.54%,-0.20%
SA,544009,12.49%,-0.10%
WA,481357,11.05%,-0.46%
TAS,148113,3.40%,-0.38%
NT,9253,0.21%,-0.86%
ACT,25797,0.59%,-0.48%
TOTAL,4357043,100.00%,-0.19%
