STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,3245,151190,228932,223342,177739,177044,961492,32.40%
VIC,4448,43979,61757,51161,40878,39373,241596,10.50%
QLD,3963,83078,80791,60027,37517,29537,294913,16.20%
SA,26451,60908,60614,58444,48360,47546,302323,44.30%
WA,1719,21033,52599,54989,43451,44477,218268,22.70%
TAS,534,5813,15417,17046,14279,15474,68563,33.00%
NT,147,684,1140,1020,626,324,3941,4.70%
ACT,541,2494,3759,3056,2258,2027,14135,9.20%
TOTAL,41048,369179,505009,469085,365108,355802,2105231,22.90%
