STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1975414,46.39%,-0.04%
VIC,425522,9.99%,-0.02%
QLD,615740,14.46%,-0.03%
SA,630475,14.80%,0.28%
WA,440455,10.34%,-0.03%
TAS,139537,3.28%,-0.07%
NT,7122,0.17%,-0.04%
ACT,24354,0.57%,0.07%
TOTAL,4258619,100.00%,0.01%
