StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing,is_informal_placeholder_row
SA,179,Adelaide,41809,PENGILLEY,Lionel,1,N,N,AJP,Animal Justice Party,1970,210,42,99,424,2745,2.41,N
SA,179,Adelaide,41210,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,41263,2285,353,1662,7473,53036,6.51,N
SA,179,Adelaide,41039,MARKS,Steve,3,N,N,CYA,Trumpet of Patriots,2329,217,20,112,466,3144,1.99,N
SA,179,Adelaide,41013,MONTI,Mat,4,N,N,GRN,The Greens,17210,1376,186,855,2015,21642,-1.13,N
SA,179,Adelaide,41060,McMILLAN,Matthew,5,N,N,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,1020,75,8,54,210,1367,-0.25,N
SA,179,Adelaide,42034,SIZE,Riley,6,N,N,ON,Pauline Hanson's One Nation,3372,272,24,162,754,4584,1.03,N
SA,179,Adelaide,41014,GRANTHAM,Amy,7,N,N,LP,Liberal,20859,1266,141,934,4371,27571,-7.83,N
SA,179,Adelaide,999,Informal,Informal,999,N,N,,Informal,3619,324,63,110,362,4478,-0.01,Y
SA,180,Barker,41016,PASIN,Tony,1,Y,Y,LP,Liberal,44047,961,105,1352,5995,52460,-4.98,N
SA,180,Barker,36466,HILLAM,Rosa,2,N,N,IND,Independent,1592,59,5,48,187,1891,1.74,N
SA,180,Barker,40657,PIETZSCH,Jonathan,3,N,N,NP,National Party,1544,35,1,53,260,1893,-0.65,N
SA,180,Barker,41214,ROTHE,James,4,N,N,ALP,Australian Labor Party,20597,535,67,678,2576,24453,1.64,N
SA,180,Barker,42023,TROETH,Jennifer,5,N,N,ON,Pauline Hanson's One Nation,7341,208,28,295,1036,8908,1.61,N
SA,180,Barker,41048,BROHIER,Michael,6,N,N,FFP,Family First,2381,85,11,69,235,2781,2.56,N
SA,180,Barker,40619,PENNO,Ian,7,N,N,IND,Independent,1290,38,5,33,150,1516,1.39,N
SA,180,Barker,41041,JAMESON,Robert,8,N,N,CYA,Trumpet of Patriots,2474,116,18,99,276,2983,2.02,N
SA,180,Barker,41017,SUMNER,Major Moogy,9,N,N,GRN,The Greens,7414,359,39,309,745,8866,0.75,N
SA,180,Barker,40674,SCHOLES,Cody,10,N,N,IND,Independent,2634,34,7,66,222,2963,2.73,N
SA,180,Barker,999,Informal,Informal,999,N,N,,Informal,8067,254,28,218,367,8934,0.63,Y
SA,182,Boothby,41043,HUSSEY,Nicole,1,N,N,CYA,Trumpet of Patriots,2482,186,26,130,426,3250,2.29,N
SA,182,Boothby,41062,PRIOR,Samuel,2,N,N,FFP,Family First,1780,152,15,102,302,2351,2,N
SA,182,Boothby,42028,SCOTT,Tonya,3,N,N,ON,Pauline Hanson's One Nation,2613,202,19,179,547,3560,0.99,N
SA,182,Boothby,41197,MILLER-FROST,Louise,4,Y,Y,ALP,Australian Labor Party,39407,1621,210,1538,7239,50015,10.3,N
SA,182,Boothby,41019,WELLS,Joanna,5,N,N,GRN,The Greens,15921,1118,126,848,2033,20046,1.88,N
SA,182,Boothby,41021,FLINT,Nicolle,6,N,N,LP,Liberal,29543,1123,108,1048,6295,38117,-5.51,N
SA,182,Boothby,999,Informal,Informal,999,N,N,,Informal,2535,177,22,95,284,3113,-1.86,Y
SA,183,Grey,40658,BORDA,Peter,1,N,N,NP,National Party,2783,80,9,112,304,3288,3.08,N
SA,183,Grey,42024,TURTON,Brandon,2,N,N,ON,Pauline Hanson's One Nation,8557,323,42,528,1202,10652,3.71,N
SA,183,Grey,41204,BOLTON,Karin,3,N,N,ALP,Australian Labor Party,19583,680,53,985,2752,24053,1.1,N
SA,183,Grey,41051,EVANS,Kylie,4,N,N,FFP,Family First,3249,139,11,166,291,3856,3.61,N
SA,183,Grey,41124,KUSS,Anita,5,N,N,IND,Independent,16238,234,52,354,1867,18745,17.54,N
