division_id,division_nm,state_ab,division_ab,demographic_classification,close_of_rolls_enrolment,final_enrolment,turnout,turnout_percentage,turnout_swing,formal_votes,informal_votes,informal_percent,informal_swing,nominations,is_non_classic_division,tpp_alp_votes,tpp_alp_percentage,tpp_coalition_votes,tpp_coalition_percentage,tpp_total_votes,tpp_swing,member_elected_given_name,member_elected_surname,member_elected_party_ab,member_elected_party_nm
318,Bean,ACT,BEAN,Inner Metropolitan,113929,113876,105370,92.53,-0.05,102700,2670,2.53,-0.35,4,Y,71161,69.29,31539,30.71,102700,6.34,David,SMITH,ALP,Australian Labor Party
101,Canberra,ACT,CANB,Inner Metropolitan,102980,102942,95426,92.7,0.62,93405,2021,2.12,0.35,6,Y,71378,76.42,22027,23.58,93405,3.96,Alicia,PAYNE,ALP,Australian Labor Party
102,Fenner,ACT,FENN,Inner Metropolitan,105447,105428,97000,92.01,0.5,94460,2540,2.62,-0.08,4,N,68088,72.08,26372,27.92,94460,6.39,Andrew,LEIGH,ALP,Australian Labor Party
103,Banks,NSW,BANK,Inner Metropolitan,119385,119323,109933,92.13,1.61,98935,10998,10,3.16,8,N,51830,52.39,47105,47.61,98935,5.03,Zhi,SOON,ALP,Australian Labor Party
104,Barton,NSW,BART,Inner Metropolitan,120825,120761,110207,91.26,1.94,99951,10256,9.31,1.35,6,N,65971,66,33980,34,99951,4.01,Ash,AMBIHAIPAHAR,ALP,Australian Labor Party
105,Bennelong,NSW,BENN,Inner Metropolitan,125986,125953,117008,92.9,2.25,109812,7196,6.15,0.51,8,N,65076,59.26,44736,40.74,109812,9.3,Jerome,LAXALE,ALP,Australian Labor Party
106,Berowra,NSW,BERO,Outer Metropolitan,130936,130869,123460,94.34,2.03,115568,7892,6.39,0.65,8,N,55895,48.37,59673,51.63,115568,5.93,Julian,LEESER,LP,Liberal
107,Blaxland,NSW,BLAX,Inner Metropolitan,116745,116715,99708,85.43,3.41,86886,12822,12.86,1.32,7,N,62474,71.9,24412,28.1,86886,8.86,Jason,CLARE,ALP,Australian Labor Party
108,Bradfield,NSW,BRFD,Inner Metropolitan,126914,126860,118858,93.69,1.11,112202,6656,5.6,1.69,8,Y,50544,45.05,61658,54.95,112202,1.18,Nicolette,BOELE,IND,Independent
109,Calare,NSW,CALA,Rural,124743,124664,115538,92.68,2.65,106267,9271,8.02,4.03,10,Y,40109,37.74,66158,62.26,106267,3.19,Andrew,GEE,IND,Independent
111,Chifley,NSW,CHIF,Outer Metropolitan,116687,116648,103427,88.67,3.93,89414,14013,13.55,4.66,8,N,62440,69.83,26974,30.17,89414,6.18,Ed,HUSIC,ALP,Australian Labor Party
112,Cook,NSW,COOK,Inner Metropolitan,118924,118855,111408,93.73,1.84,106364,5044,4.53,0.45,6,N,45530,42.81,60834,57.19,106364,4.43,Simon,KENNEDY,LP,Liberal
113,Cowper,NSW,COWP,Provincial,131719,131639,119599,90.85,2.18,107735,11864,9.92,4.99,11,Y,44089,40.92,63646,59.08,107735,0.45,Pat,CONAGHAN,NP,The Nationals
114,Cunningham,NSW,CUNN,Provincial,132206,132139,122060,92.37,1.57,115474,6586,5.4,0.06,6,N,77970,67.52,37504,32.48,115474,2.45,Alison,BYRNES,ALP,Australian Labor Party
115,Dobell,NSW,DOBE,Provincial,122630,122541,112107,91.49,3.12,103427,8680,7.74,3.12,8,N,61465,59.43,41962,40.57,103427,2.87,Emma,McBRIDE,ALP,Australian Labor Party
117,Eden-Monaro,NSW,EMON,Rural,121441,121376,113896,93.84,0.95,107088,6808,5.98,-0.48,8,N,61270,57.21,45818,42.79,107088,1.13,Kristy,McBAIN,ALP,Australian Labor Party
118,Farrer,NSW,FARR,Rural,123827,123752,113297,91.55,2.11,103063,10234,9.03,1.44,9,Y,38251,37.11,64812,62.89,103063,3.46,Sussan,LEY,LP,Liberal
119,Fowler,NSW,FOWL,Outer Metropolitan,119999,119951,108017,90.05,5.04,92938,15079,13.96,3.43,7,Y,63371,68.19,29567,31.81,92938,12.29,Dai,LE,IND,Independent
120,Gilmore,NSW,GILM,Rural,129095,128995,119278,92.47,1.81,111053,8225,6.9,2.47,8,N,61223,55.13,49830,44.87,111053,4.96,Fiona,PHILLIPS,ALP,Australian Labor Party
121,Grayndler,NSW,GRAY,Inner Metropolitan,125576,125552,115641,92.11,2.59,110878,4763,4.12,-0.9,6,Y,88897,80.18,21981,19.82,110878,3.55,Anthony,ALBANESE,ALP,Australian Labor Party
122,Greenway,NSW,GREE,Outer Metropolitan,118936,118906,110455,92.89,12.78,102755,7700,6.97,-0.42,7,N,65518,63.76,37237,36.24,102755,5.82,Michelle,ROWLAND,ALP,Australian Labor Party
124,Hughes,NSW,HUGH,Outer Metropolitan,114925,114887,107500,93.57,1.48,98295,9205,8.56,3.39,8,N,52152,53.06,46143,46.94,98295,6.52,David,MONCRIEFF,ALP,Australian Labor Party
125,Hume,NSW,HUME,Outer Metropolitan,117488,117449,109196,92.97,7.86,99467,9729,8.91,1.63,8,N,41720,41.94,57747,58.06,99467,-1.19,Angus,TAYLOR,LP,Liberal
126,Hunter,NSW,HUNT,Rural,132272,132184,121454,91.88,4.29,111672,9782,8.05,0.68,9,Y,66424,59.48,45248,40.52,111672,4.7,Dan,REPACHOLI,ALP,Australian Labor Party
127,Kingsford Smith,NSW,KSMI,Inner Metropolitan,117455,117399,105258,89.66,0.22,99132,6126,5.82,1.05,5,N,66604,67.19,32528,32.81,99132,3.88,Matt,THISTLETHWAITE,ALP,Australian Labor Party
128,Lindsay,NSW,LIND,Outer Metropolitan,121371,121306,110166,90.82,4.26,98146,12020,10.91,3.82,10,N,46342,47.22,51804,52.78,98146,3.33,Melissa,McINTOSH,LP,Liberal
130,Lyne,NSW,LYNE,Rural,129678,129584,120329,92.86,2.3,109350,10979,9.12,2.53,10,N,43981,40.22,65369,59.78,109350,4.02,Alison,PENFOLD,NP,The Nationals
131,Macarthur,NSW,MACA,Outer Metropolitan,115039,115008,103724,90.19,7.03,93536,10188,9.82,2.44,7,N,61365,65.61,32171,34.39,93536,5.85,Mike,FREELANDER,ALP,Australian Labor Party
132,Mackellar,NSW,MACK,Outer Metropolitan,129396,129339,120741,93.35,1.66,111847,8894,7.37,3.61,9,Y,51833,46.34,60014,53.66,111847,4.21,Sophie,SCAMPS,IND,Independent
133,Macquarie,NSW,MACQ,Provincial,121999,121939,114463,93.87,1.78,109705,4758,4.16,-0.88,6,N,63306,57.71,46399,42.29,109705,1.38,Susan,TEMPLEMAN,ALP,Australian Labor Party
315,McMahon,NSW,MCMA,Outer Metropolitan,120559,120536,109416,90.77,6.13,97835,11581,10.58,0.81,5,N,57742,59.02,40093,40.98,97835,-1.46,Chris,BOWEN,ALP,Australian Labor Party
134,Mitchell,NSW,MITC,Outer Metropolitan,123041,122997,115709,94.07,3.98,109553,6156,5.32,0.99,5,N,50604,46.19,58949,53.81,109553,6.68,Alex,HAWKE,LP,Liberal
135,New England,NSW,NENG,Rural,131321,131238,120162,91.56,1.85,114346,5816,4.84,-1.64,7,N,37666,32.94,76680,67.06,114346,-1.85,Barnaby,JOYCE,NP,The Nationals
136,Newcastle,NSW,NEWC,Provincial,126289,126226,116411,92.22,1.52,108266,8145,7,1.57,8,Y,76644,70.79,31622,29.21,108266,2.85,Sharon,CLAYDON,ALP,Australian Labor Party
