STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,375400,21.91%,0.39%
VIC,427955,24.98%,0.37%
QLD,342393,19.98%,0.20%
SA,191421,11.17%,0.50%
WA,271304,15.83%,0.14%
TAS,53270,3.11%,0.07%
NT,13446,0.78%,0.23%
ACT,38213,2.23%,0.34%
TOTAL,1713402,100.00%,0.31%
