STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2067773,47.24%,-0.26%
VIC,457940,10.46%,-0.56%
QLD,635643,14.52%,-0.34%
SA,544801,12.45%,0.05%
WA,485731,11.10%,-0.48%
TAS,149981,3.43%,-0.63%
NT,9506,0.22%,-1.24%
ACT,25998,0.59%,-1.06%
TOTAL,4377373,100.00%,-0.31%
