STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,76428,222130,246081,217126,145313,109657,1016735,36.99%
VIC,18072,68124,62046,51215,36231,26331,262019,12.63%
QLD,56203,81335,72982,48704,29697,16972,305893,19.14%
SA,30538,55433,57687,56093,40650,29028,269429,42.40%
WA,7526,49872,62887,56534,38944,28975,244738,30.22%
TAS,1707,14227,18214,18163,12223,10202,74736,37.89%
NT,413,1509,1659,1141,659,219,5600,7.86%
ACT,1112,3641,3556,3099,2186,1360,14954,11.23%
TOTAL,191999,496271,525112,452075,305903,222744,2194104,26.53%
