STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,291909,24.72%,0.75%
VIC,285302,24.16%,0.90%
QLD,249106,21.09%,0.85%
SA,109069,9.23%,1.54%
WA,178568,15.12%,1.29%
TAS,35355,2.99%,0.93%
NT,9704,0.82%,2.83%
ACT,22058,1.87%,0.87%
TOTAL,1181071,100.00%,0.98%
