STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,262070,25.52%,1.15%
VIC,249651,24.31%,1.61%
QLD,217776,21.21%,1.43%
SA,93048,9.06%,1.04%
WA,150380,14.64%,1.41%
TAS,27683,2.70%,3.41%
NT,7914,0.77%,1.84%
ACT,18315,1.78%,1.35%
TOTAL,1026837,100.00%,1.42%
