table,table_title,row_group_1,row_group_2,row_label,column,value
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Higher courts,Sentenced,4726
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Higher courts,Unsentenced - no.,923
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Higher courts,Unsentenced - Mean time on remand (months),15.2
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Higher courts,Unsentenced - Median time on remand (months),14.2
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Higher courts,Unsentenced - Time on remand - 90th Percentile (months) (b),27.6
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Higher courts,Total prisoners (c),5647
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Lower and other courts,Sentenced,2693
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Lower and other courts,Unsentenced - no.,4826
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Lower and other courts,Unsentenced - Mean time on remand (months),4.4
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Lower and other courts,Unsentenced - Median time on remand (months),2.7
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Lower and other courts,Unsentenced - Time on remand - 90th Percentile (months) (b),10.3
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Lower and other courts,Total prisoners (c),7518
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Total,Sentenced,7411
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Total,Unsentenced - no.,5752
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Total,Unsentenced - Mean time on remand (months),6.1
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Total,Unsentenced - Median time on remand (months),3.4
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Total,Unsentenced - Time on remand - 90th Percentile (months) (b),15.4
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",New South Wales,,Total,Total prisoners (c),13164
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Higher courts,Sentenced,2999
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Higher courts,Unsentenced - no.,777
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Higher courts,Unsentenced - Mean time on remand (months),12.6
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Higher courts,Unsentenced - Median time on remand (months),11
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Higher courts,Unsentenced - Time on remand - 90th Percentile (months) (b),23.3
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Higher courts,Total prisoners (c),3773
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Lower and other courts,Sentenced,1013
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Lower and other courts,Unsentenced - no.,1808
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Lower and other courts,Unsentenced - Mean time on remand (months),2.9
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Lower and other courts,Unsentenced - Median time on remand (months),2.2
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Lower and other courts,Unsentenced - Time on remand - 90th Percentile (months) (b),6.3
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Lower and other courts,Total prisoners (c),2819
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Total,Sentenced,4008
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Total,Unsentenced - no.,2588
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Total,Unsentenced - Mean time on remand (months),5.8
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Total,Unsentenced - Median time on remand (months),3.4
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Total,Unsentenced - Time on remand - 90th Percentile (months) (b),14.6
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Victoria,,Total,Total prisoners (c),6593
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Higher courts,Sentenced,3859
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Higher courts,Unsentenced - no.,242
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Higher courts,Unsentenced - Mean time on remand (months),12.3
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Higher courts,Unsentenced - Median time on remand (months),10.5
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Higher courts,Unsentenced - Time on remand - 90th Percentile (months) (b),23.6
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Higher courts,Total prisoners (c),4158
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Lower and other courts,Sentenced,2572
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Lower and other courts,Unsentenced - no.,4542
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Lower and other courts,Unsentenced - Mean time on remand (months),6.2
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Lower and other courts,Unsentenced - Median time on remand (months),3.7
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Lower and other courts,Unsentenced - Time on remand - 90th Percentile (months) (b),14.5
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Lower and other courts,Total prisoners (c),7116
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Total,Sentenced,6439
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Total,Unsentenced - no.,4784
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Total,Unsentenced - Mean time on remand (months),6.5
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Total,Unsentenced - Median time on remand (months),3.9
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Total,Unsentenced - Time on remand - 90th Percentile (months) (b),15.4
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",Queensland,,Total,Total prisoners (c),11278
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Higher courts,Sentenced,1448
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Higher courts,Unsentenced - no.,250
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Higher courts,Unsentenced - Mean time on remand (months),18.5
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Higher courts,Unsentenced - Median time on remand (months),13.6
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Higher courts,Unsentenced - Time on remand - 90th Percentile (months) (b),48.8
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Higher courts,Total prisoners (c),1703
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Lower and other courts,Sentenced,419
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Lower and other courts,Unsentenced - no.,1295
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Lower and other courts,Unsentenced - Mean time on remand (months),3.9
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Lower and other courts,Unsentenced - Median time on remand (months),2.1
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Lower and other courts,Unsentenced - Time on remand - 90th Percentile (months) (b),9.2
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Lower and other courts,Total prisoners (c),1717
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Total,Sentenced,1863
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Total,Unsentenced - no.,1546
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Total,Unsentenced - Mean time on remand (months),6.3
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Total,Unsentenced - Median time on remand (months),2.8
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",South Australia,,Total,Unsentenced - Time on remand - 90th Percentile (months) (b),15.9
