table,table_title,row_group_1,row_group_2,row_label,column,value
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,01 Homicide and related offences,Sentenced prisoners - No.,572
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,01 Homicide and related offences,Aggregate sentence length (d) - Mean (years),22.2
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,01 Homicide and related offences,Aggregate sentence length (d) - Median (years),22
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,02 Acts intended to cause injury,Sentenced prisoners - No.,1491
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,02 Acts intended to cause injury,Aggregate sentence length (d) - Mean (years),2.8
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,02 Acts intended to cause injury,Aggregate sentence length (d) - Median (years),1.7
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,03 Sexual assault and related offences,Sentenced prisoners - No.,1599
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,03 Sexual assault and related offences,Aggregate sentence length (d) - Mean (years),10.5
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,03 Sexual assault and related offences,Aggregate sentence length (d) - Median (years),9
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,04 Dangerous/negligent acts,Sentenced prisoners - No.,232
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,04 Dangerous/negligent acts,Aggregate sentence length (d) - Mean (years),2.1
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,04 Dangerous/negligent acts,Aggregate sentence length (d) - Median (years),1.7
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,05 Abduction/harassment,Sentenced prisoners - No.,95
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,05 Abduction/harassment,Aggregate sentence length (d) - Mean (years),5.6
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,05 Abduction/harassment,Aggregate sentence length (d) - Median (years),4.8
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,06 Robbery/extortion,Sentenced prisoners - No.,213
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,06 Robbery/extortion,Aggregate sentence length (d) - Mean (years),5.8
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,06 Robbery/extortion,Aggregate sentence length (d) - Median (years),5
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,07 Unlawful entry with intent,Sentenced prisoners - No.,256
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,07 Unlawful entry with intent,Aggregate sentence length (d) - Mean (years),2.9
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,07 Unlawful entry with intent,Aggregate sentence length (d) - Median (years),2.5
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,08 Theft,Sentenced prisoners - No.,176
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,08 Theft,Aggregate sentence length (d) - Mean (years),2
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,08 Theft,Aggregate sentence length (d) - Median (years),1
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,09 Fraud/deception,Sentenced prisoners - No.,136
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,09 Fraud/deception,Aggregate sentence length (d) - Mean (years),3.8
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,09 Fraud/deception,Aggregate sentence length (d) - Median (years),3
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,10 Illicit drug offences,Sentenced prisoners - No.,737
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,10 Illicit drug offences,Aggregate sentence length (d) - Mean (years),8.2
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,10 Illicit drug offences,Aggregate sentence length (d) - Median (years),6.8
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,11 Weapons/explosives,Sentenced prisoners - No.,175
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,11 Weapons/explosives,Aggregate sentence length (d) - Mean (years),2.9
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,11 Weapons/explosives,Aggregate sentence length (d) - Median (years),1.8
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,12 Property damage and environmental pollution,Sentenced prisoners - No.,62
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,12 Property damage and environmental pollution,Aggregate sentence length (d) - Mean (years),2.7
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,12 Property damage and environmental pollution,Aggregate sentence length (d) - Median (years),1.3
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,13 Public order offences,Sentenced prisoners - No.,34
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,13 Public order offences,Aggregate sentence length (d) - Mean (years),1.8
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,13 Public order offences,Aggregate sentence length (d) - Median (years),1
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,14 Traffic and vehicle regulatory offences,Sentenced prisoners - No.,88
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,14 Traffic and vehicle regulatory offences,Aggregate sentence length (d) - Mean (years),0.9
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,14 Traffic and vehicle regulatory offences,Aggregate sentence length (d) - Median (years),0.8
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,15 Offences against justice,Sentenced prisoners - No.,1405
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,15 Offences against justice,Aggregate sentence length (d) - Mean (years),1.4
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,15 Offences against justice,Aggregate sentence length (d) - Median (years),0.8
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,16 Miscellaneous offences,Sentenced prisoners - No.,14
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,16 Miscellaneous offences,Aggregate sentence length (d) - Mean (years),9.1
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,16 Miscellaneous offences,Aggregate sentence length (d) - Median (years),3.5
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,Total,Sentenced prisoners - No.,7281
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,Total,Aggregate sentence length (d) - Mean (years),6.4
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",New South Wales,,Total,Aggregate sentence length (d) - Median (years),3.1
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",Victoria,,01 Homicide and related offences,Sentenced prisoners - No.,468
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",Victoria,,01 Homicide and related offences,Aggregate sentence length (d) - Mean (years),17.6
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",Victoria,,01 Homicide and related offences,Aggregate sentence length (d) - Median (years),19
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",Victoria,,02 Acts intended to cause injury,Sentenced prisoners - No.,585
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",Victoria,,02 Acts intended to cause injury,Aggregate sentence length (d) - Mean (years),3.5
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",Victoria,,02 Acts intended to cause injury,Aggregate sentence length (d) - Median (years),2.1
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",Victoria,,03 Sexual assault and related offences,Sentenced prisoners - No.,979
