table,table_title,row_group_1,row_group_2,row_label,column,value
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2020,Unsentenced,32.6
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2020,Male imprisonment rate (e),381.4
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2020,Female imprisonment rate (e),26
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2020,Total imprisonment rate (e),200.8
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2021,Total prisoners (d) - Number,13126
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2021,Males,12259
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2021,Females,868
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2021,Aboriginal and Torres Strait Islander,3597
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2021,Non-Indigenous,9515
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2021,Known prior imprisonment - Proportion (%),53.8
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2021,Unsentenced,34.8
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2021,Male imprisonment rate (e),394.2
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2021,Female imprisonment rate (e),27
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2021,Total imprisonment rate (e),207.6
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2022,Total prisoners (d) - Number,12372
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2022,Males,11558
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2022,Females,820
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2022,Aboriginal and Torres Strait Islander,3606
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2022,Non-Indigenous,8754
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2022,Known prior imprisonment - Proportion (%),55.7
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2022,Unsentenced,37.6
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2022,Male imprisonment rate (e),370.1
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2022,Female imprisonment rate (e),25.4
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2022,Total imprisonment rate (e),194.9
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2023,Total prisoners (d) - Number,12316
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2023,Males,11497
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2023,Females,819
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2023,Aboriginal and Torres Strait Islander,3510
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2023,Non-Indigenous,8788
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2023,Known prior imprisonment - Proportion (%),56.6
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2023,Unsentenced,39.1
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2023,Male imprisonment rate (e),359.2
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2023,Female imprisonment rate (e),24.8
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2023,Total imprisonment rate (e),189.5
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2024,Total prisoners (d) - Number,12946
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2024,Males,12092
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2024,Females,857
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2024,Aboriginal and Torres Strait Islander,4188
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2024,Non-Indigenous,8706
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2024,Known prior imprisonment - Proportion (%),56.6
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2024,Unsentenced,44.1
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2024,Male imprisonment rate (e),367.9
