table,table_title,row_group_1,row_group_2,row_label,column,value
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,NSW,62
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,Vic.,11
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,Qld,4
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,SA,13
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,WA,10
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,Tas.,11
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,NT,43
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,ACT,0
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,Aust.,156
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,NSW,167
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,Vic.,37
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,Qld,29
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,SA,22
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,WA,21
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,Tas.,22
