table,table_title,row_group_1,row_group_2,row_label,column,value
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Unknown,NT,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Unknown,ACT,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Indigenous status,,Unknown,Aust.,278
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,NSW,7411
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,Vic.,4008
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,Qld,6439
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,SA,1863
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,WA,5127
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,Tas.,455
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,NT,1464
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,ACT,278
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Sentenced,Aust.,27051
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,NSW,5752
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,Vic.,2588
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,Qld,4784
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,SA,1546
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,WA,3324
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,Tas.,343
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,NT,1377
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,ACT,138
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Unsentenced,Aust.,19850
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,NSW,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,Vic.,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,Qld,55
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,SA,1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,WA,26
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,Tas.,3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,NT,5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,ACT,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Legal status,,Post-sentence,Aust.,90
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,NSW,7463
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,Vic.,3507
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,Qld,7525
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,SA,1807
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,WA,4910
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,Tas.,510
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,NT,2128
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,ACT,201
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,Prior imprisonment,Aust.,28040
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,NSW,5697
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,Vic.,3093
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,Qld,3754
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,SA,1605
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,WA,3568
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,Tas.,286
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,NT,717
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,ACT,232
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Prior imprisonment status (d),,No prior imprisonment,Aust.,18959
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,NSW,39.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,Vic.,39.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,Qld,37.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,SA,41
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,WA,38.5
