table,table_title,row_group_1,row_group_2,row_label,column,value
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Amber Laurel Correctional Centre,Number of prisoners,11
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Bathurst Correctional Centre,Number of prisoners,529
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Broken Hill Correctional Centre,Number of prisoners,49
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Cessnock Correctional Centre,Number of prisoners,466
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Clarence Correctional Centre,Number of prisoners,1202
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Compulsory Drug Treatment Correctional Centre,Number of prisoners,28
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Cooma Correctional Centre,Number of prisoners,157
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Emu Plains Correctional Centre,Number of prisoners,100
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Geoffrey Pearce Correctional Centre,Number of prisoners,311
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Glen Innes Correctional Centre,Number of prisoners,143
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Goulburn Correctional Centre,Number of prisoners,281
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,High Risk Management Correctional Centre,Number of prisoners,77
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Hunter Correctional Centre,Number of prisoners,316
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,John Morony Correctional Centre (I),Number of prisoners,427
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Junee Correctional Centre,Number of prisoners,684
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Kariong Correctional Centre,Number of prisoners,19
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Kirkconnell Correctional Centre,Number of prisoners,188
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Lithgow Correctional Centre,Number of prisoners,311
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Long Bay Hospital Area,Number of prisoners,351
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Macquarie Correctional Centre,Number of prisoners,333
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Mannus Correctional Centre,Number of prisoners,141
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Mary Wade Correctional Centre,Number of prisoners,77
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Metropolitan Remand and Reception Centre,Number of prisoners,1078
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Metropolitan Special Programs Centre,Number of prisoners,743
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Mid North Coast Correctional Centre,Number of prisoners,861
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Newcastle Police/Court Cells,Number of prisoners,6
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Parklea Correctional Centre,Number of prisoners,1146
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Shortland Correctional Centre,Number of prisoners,538
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,South Coast Correctional Centre,Number of prisoners,879
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Special Purpose Centre,Number of prisoners,26
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,St Heliers Correctional Centre,Number of prisoners,230
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Surry Hills Police/Court Cells,Number of prisoners,15
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Tamworth Correctional Centre,Number of prisoners,67
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Wagga Court Cells,Number of prisoners,3
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Wellington Correctional Centre,Number of prisoners,450
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Males,Total,Number of prisoners,12252
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Amber Laurel Correctional Centre,Number of prisoners,5
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Bathurst Correctional Centre,Number of prisoners,7
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Bolwara House Transitional Centre,Number of prisoners,12
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Broken Hill Correctional Centre,Number of prisoners,7
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Clarence Correctional Centre,Number of prisoners,43
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Dillwynia Correctional Centre,Number of prisoners,495
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Emu Plains Correctional Centre,Number of prisoners,12
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Junee Correctional Centre,Number of prisoners,7
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Mid North Coast Correctional Centre,Number of prisoners,50
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Parramatta Transitional Centre,Number of prisoners,11
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Silverwater Women's Correctional Centre,Number of prisoners,174
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Surry Hills Police/Court Cells,Number of prisoners,3
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Wellington Correctional Centre,Number of prisoners,74
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Total,Number of prisoners,909
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",New South Wales,Females,Total prisoners,Number of prisoners,13164
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Males,Barwon Prison,Number of prisoners,276
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Males,Beechworth Correctional Centre,Number of prisoners,183
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Males,Fulham Correctional Centre,Number of prisoners,726
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Males,Hopkins Correctional Centre,Number of prisoners,587
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Males,Judy Lazarus Transition Centre,Number of prisoners,19
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Males,Langi Kal Kal Prison,Number of prisoners,343
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Males,Loddon Prison,Number of prisoners,601
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Males,Marngoneet Correctional Centre,Number of prisoners,814
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Males,Melbourne Assessment Prison,Number of prisoners,243
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Males,Metropolitan Remand Centre,Number of prisoners,863
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Males,Port Phillip Prison,Number of prisoners,570
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Males,Ravenhall Correctional Centre,Number of prisoners,964
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Males,Western Plains Correctional Centre,Number of prisoners,27
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Males,Total,Number of prisoners,6232
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Females,Dame Phyllis Frost Centre,Number of prisoners,315
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Females,Tarrengower Prison,Number of prisoners,48
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Females,Total,Number of prisoners,363
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Victoria,Females,Total prisoners,Number of prisoners,6593
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Males,Arthur Gorrie Correctional Centre,Number of prisoners,1521
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Males,Borallon Training and Correctional Centre,Number of prisoners,813
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Males,Brisbane Correctional Centre,Number of prisoners,907
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Males,Capricornia Correctional Centre,Number of prisoners,1212
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Males,Capricornia Correctional Centre - Farm,Number of prisoners,72
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Males,Lotus Glen Correctional Centre - Farm,Number of prisoners,141
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Males,Lotus Glen Correctional Centre - Main,Number of prisoners,1052
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Males,Maryborough Correctional Centre,Number of prisoners,769
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Males,Palen Creek Correctional Centre,Number of prisoners,227
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Males,Townsville Correctional Centre - Male Farm,Number of prisoners,85
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Males,Townsville Correctional Centre - Male Main,Number of prisoners,838
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Males,Wolston Correctional Centre,Number of prisoners,973
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Males,Woodford Correctional Centre,Number of prisoners,1596
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Males,Total,Number of prisoners,10200
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Females,Brisbane Women's Correctional Centre,Number of prisoners,308
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Females,Helana Jones Centre,Number of prisoners,23
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",Queensland,Females,Numinbah Correctional Centre - Women's Unit,Number of prisoners,96
