table,table_title,row_group_1,row_group_2,row_label,column,value
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,18 years,NSW,34
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,18 years,Vic.,3
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,18 years,Qld,63
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,18 years,SA,4
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,18 years,WA,30
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,18 years,Tas.,3
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,18 years,NT,23
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,18 years,ACT,3
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,18 years,Aust.,154
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,18 years,Imprisonment rate (b),1376.5
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,19 years,NSW,63
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,19 years,Vic.,10
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,19 years,Qld,96
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,19 years,SA,11
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,19 years,WA,44
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,19 years,Tas.,0
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,19 years,NT,49
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,19 years,ACT,4
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,19 years,Aust.,272
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,19 years,Imprisonment rate (b),2573.3
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,20–24 years,NSW,548
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,20–24 years,Vic.,75
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,20–24 years,Qld,609
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,20–24 years,SA,76
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,20–24 years,WA,373
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,20–24 years,Tas.,24
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,20–24 years,NT,381
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,20–24 years,ACT,18
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,20–24 years,Aust.,2114
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,20–24 years,Imprisonment rate (b),4447.7
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,25–29 years,NSW,742
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,25–29 years,Vic.,161
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,25–29 years,Qld,740
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,25–29 years,SA,116
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,25–29 years,WA,581
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,25–29 years,Tas.,35
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,25–29 years,NT,380
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,25–29 years,ACT,20
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,25–29 years,Aust.,2767
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,25–29 years,Imprisonment rate (b),6408.7
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,30–34 years,NSW,807
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,30–34 years,Vic.,205
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,30–34 years,Qld,770
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,30–34 years,SA,148
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,30–34 years,WA,670
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,30–34 years,Tas.,42
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,30–34 years,NT,417
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,30–34 years,ACT,25
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,30–34 years,Aust.,3077
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,30–34 years,Imprisonment rate (b),7955.4
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,35–39 years,NSW,669
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,35–39 years,Vic.,141
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,35–39 years,Qld,659
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,35–39 years,SA,148
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,35–39 years,WA,591
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,35–39 years,Tas.,29
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,35–39 years,NT,373
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,35–39 years,ACT,23
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,35–39 years,Aust.,2630
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,35–39 years,Imprisonment rate (b),8289.7
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,40–44 years,NSW,526
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,40–44 years,Vic.,120
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,40–44 years,Qld,433
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,40–44 years,SA,104
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,40–44 years,WA,403
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,40–44 years,Tas.,28
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,40–44 years,NT,279
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,40–44 years,ACT,15
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,40–44 years,Aust.,1906
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,40–44 years,Imprisonment rate (b),7021.6
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,45–49 years,NSW,330
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,45–49 years,Vic.,68
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,45–49 years,Qld,303
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,45–49 years,SA,77
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,45–49 years,WA,265
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,45–49 years,Tas.,20
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,45–49 years,NT,205
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,45–49 years,ACT,8
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",Aboriginal and Torres Strait Islander,Males,45–49 years,Aust.,1276
