table,table_title,row_group_1,row_group_2,row_label,column,value
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,NSW,97
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,Vic.,19
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,Qld,148
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,SA,11
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,WA,28
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,Tas.,11
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,NT,104
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,ACT,0
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,Under 3 months,Aust.,417
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,NSW,329
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,Vic.,48
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,Qld,355
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,SA,32
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,WA,202
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,Tas.,13
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,NT,193
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,ACT,3
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,3 to under 6 months,Aust.,1175
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,6 to under 12 months,NSW,715
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,6 to under 12 months,Vic.,70
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,6 to under 12 months,Qld,627
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,6 to under 12 months,SA,36
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,6 to under 12 months,WA,383
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",Aboriginal and Torres Strait Islander,,6 to under 12 months,Tas.,17
