reporting_year,age_group,population_group,num_registered_children,num_fully_immunised,num_not_fully_immunised,percent_fully_immunised
2011–12,1 year,All children,297338,272978,24360,91.8
2011–12,1 year,Aboriginal and Torres Strait Islander children,N/A,N/A,2059,85.4
2011–12,2 years,All children,301683,279349,22334,92.6
2011–12,2 years,Aboriginal and Torres Strait Islander children,N/A,N/A,1080,92.2
2011–12,5 years,All children,299352,269277,30075,90
2011–12,5 years,Aboriginal and Torres Strait Islander children,N/A,N/A,1613,87.3
2012–13,1 year,All children,302288,276058,26230,91.3
2012–13,1 year,Aboriginal and Torres Strait Islander children,14685,12503,2182,85.1
2012–13,2 years,All children,300042,277329,22713,92.4
2012–13,2 years,Aboriginal and Torres Strait Islander children,14327,13177,1150,92
2012–13,5 years,All children,307624,281592,26032,91.5
2012–13,5 years,Aboriginal and Torres Strait Islander children,13731,12651,1080,92.1
2013–14,1 year,All children,309964,280247,29717,90.4
2013–14,1 year,Aboriginal and Torres Strait Islander children,15555,13417,2138,86.3
2013–14,2 years,All children,304607,281307,23300,92.4
2013–14,2 years,Aboriginal and Torres Strait Islander children,14977,13820,1157,92.3
2013–14,5 years,All children,308947,284081,24866,92
2013–14,5 years,Aboriginal and Torres Strait Islander children,14019,13036,983,93
2014–15,1 year,All children,307342,280671,26671,91.3
2014–15,1 year,Aboriginal and Torres Strait Islander children,15825,13882,1943,87.7
2014–15,2 years,All children,310770,277089,33681,89.2
2014–15,2 years,Aboriginal and Torres Strait Islander children,15507,13452,2055,86.7
2014–15,5 years,All children,312369,288150,24219,92.2
2014–15,5 years,Aboriginal and Torres Strait Islander children,14164,13240,924,93.5
2015–16,1 year,All children,307499,285972,21527,93
2015–16,1 year,Aboriginal and Torres Strait Islander children,16654,14953,1701,89.8
2015–16,2 years,All children,307512,278898,28614,90.7
2015–16,2 years,Aboriginal and Torres Strait Islander children,15672,13744,1928,87.7
2015–16,5 years,All children,312099,289971,22128,92.9
2015–16,5 years,Aboriginal and Torres Strait Islander children,14893,14084,809,94.6
2016–17,1 year,All children,308750,289579,19171,93.8
2016–17,1 year,Aboriginal and Torres Strait Islander children,17095,15756,1339,92.2
2016–17,2 years,All children,311777,283293,28484,90.9
2016–17,2 years,Aboriginal and Torres Strait Islander children,16897,14964,1933,88.6
2016–17,5 years,All children,318004,297480,20524,93.5
2016–17,5 years,Aboriginal and Torres Strait Islander children,15736,15056,680,95.7
