year,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
2015-16,First Nations,1171,250,1379,1023,316,37,41,346,4563
2015-16,Non-Indigenous,1398,1149,1064,644,335,109,105,20,4824
2015-16,Not stated,147,1,20,—,4,5,—,16,193
2015-16,Total,2716,1400,2463,1667,655,151,146,382,9580
2016-17,First Nations,1136,237,1372,1001,301,53,39,329,4468
2016-17,Non-Indigenous,1284,1044,1036,632,322,120,104,15,4557
2016-17,Not stated,131,1,17,—,4,10,—,17,180
2016-17,Total,2551,1282,2425,1633,627,183,143,361,9205
2017-18,First Nations,1130,212,1526,966,269,51,44,272,4470
2017-18,Non-Indigenous,1291,1005,1096,665,288,126,116,11,4598
2017-18,Not stated,131,2,20,—,5,14,—,10,182
2017-18,Total,2552,1219,2642,1631,562,191,160,293,9250
2018-19,First Nations,1108,187,1625,901,231,62,35,278,4427
2018-19,Non-Indigenous,1364,976,1073,706,258,134,112,12,4635
2018-19,Not stated,112,—,19,—,2,20,—,7,160
2018-19,Total,2584,1163,2717,1607,491,216,147,297,9222
2019-20,First Nations,1041,168,1397,812,220,67,36,254,3995
2019-20,Non-Indigenous,1361,951,892,641,263,121,99,14,4342
2019-20,Not stated,116,—,11,—,4,17,1,5,154
2019-20,Total,2518,1119,2300,1453,487,205,136,273,8491
2020-21,First Nations,979,149,1276,686,194,62,28,249,3623
2020-21,Non-Indigenous,1337,761,811,512,239,109,94,15,3878
2020-21,Not stated,131,1,14,—,3,8,2,6,165
2020-21,Total,2447,911,2101,1198,436,179,124,270,7666
2021-22,First Nations,1019,125,1302,771,204,43,22,324,3810
2021-22,Non-Indigenous,1124,600,776,516,231,92,87,16,3442
2021-22,Not stated,101,—,9,—,3,3,1,6,123
2021-22,Total,2244,725,2087,1287,438,138,110,346,7375
2022-23,First Nations,1137,108,1316,842,255,54,37,386,4135
2022-23,Non-Indigenous,1065,518,718,586,277,103,101,13,3381
2022-23,Not stated,99,—,8,—,4,2,9,15,137
2022-23,Total,2301,626,2042,1428,536,159,147,414,7653
2023-24,First Nations,1170,100,1367,836,283,59,48,493,4356
2023-24,Non-Indigenous,1005,461,694,559,262,127,107,25,3240
2023-24,Not stated,98,—,8,—,3,1,4,15,129
2023-24,Total,2273,561,2069,1395,548,187,159,533,7725
2024-25,First Nations,1168,117,1351,808,291,80,48,610,4473
2024-25,Non-Indigenous,1028,514,696,533,241,131,104,26,3273
2024-25,Not stated,113,4,14,—,9,5,—,17,162
2024-25,Total,2309,635,2061,1341,541,216,152,653,7908
