section,remoteness_area,nsw,vic,qld,wa,sa,tas,act,nt,australia
,Major cities of Australia,14.076,7.587,22.012,30.585,22.549,. .,34.133,. .,16.869
,Inner regional Australia,26.331,7.658,27.802,14.102,11.545,40.465,—,. .,21.529
,Outer regional Australia,29.462,9.433,67.347,40.648,38.7,27.749,. .,153.648,51.129
,Remote Australia,86.455,—,132.516,71.151,n.p.,n.p.,. .,308.516,124.268
,Very remote Australia,282.055,. .,139.064,239.889,115.802,—,. .,294.29,218.426
