number_of_completed_periods,first_nations,non_indigenous,not_stated,total
1,1361,1021,48,2430
2,601,387,7,995
3,282,198,3,483
4,148,90,—,238
5,80,50,—,130
6+,128,78,—,206
Total,2600,1824,58,4482
