year,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
2016-17,First Nations,122.868,77.716,142.445,298.408,245.168,40.111,170.94,188.413,154.7
2016-17,Non-Indigenous,10.285,7.813,7.964,13.547,11.954,8.681,16.048,6.815,9.661
2016-17,Total,19.079,9.213,19.478,34.217,23.442,11.962,22.039,95.823,19.374
2017-18,First Nations,126.342,75.895,159.266,295.487,209.247,29.293,175.809,159.244,155.567
2017-18,Non-Indigenous,10.836,7.553,7.835,12.483,9.699,7.988,21.025,4.443,9.522
2017-18,Total,19.785,8.958,21.015,33.201,19.866,10.292,26.883,79.024,19.362
2018-19,First Nations,115.462,68.619,164.754,261.929,174.625,33.451,131.488,137.186,145.095
2018-19,Non-Indigenous,10.736,8.171,7.556,13.222,8.947,9.221,17.139,3.609,9.575
2018-19,Total,18.862,9.412,21.49,31.583,17.411,11.908,21.399,67.62,18.769
2019-20,First Nations,98.989,64.48,140.138,230.701,173.742,35.751,165.346,111.853,126.878
2019-20,Non-Indigenous,11.27,9.158,7.209,11.734,9.898,6.929,14.307,5.704,9.752
2019-20,Total,18.313,10.299,19.084,27.921,18.52,10.182,20.054,54.989,17.787
2020-21,First Nations,90.426,43.439,126.563,187.749,132.317,23.273,152.619,136.883,112.378
2020-21,Non-Indigenous,10.948,7.56,7.592,8.391,8.383,6.196,12.603,5.536,8.811
2020-21,Total,17.465,8.31,18.347,21.596,15.038,8.141,17.998,66.014,16.011
2021-22,First Nations,99.556,48.472,137.418,246.914,151.73,24.49,118.015,225.806,132.963
2021-22,Non-Indigenous,8.349,5.45,7.438,9.119,9.218,6.123,13.442,7.487,7.59
2021-22,Total,15.656,6.361,19.128,26.567,16.91,8.226,17.234,106.15,16.221
2022-23,First Nations,122.43,44.274,149.4,248.534,184.721,27.486,190.866,228.463,146.719
2022-23,Non-Indigenous,8.225,4.87,6.161,10.517,9.035,8.573,17.398,3.939,7.367
2022-23,Total,17.299,5.705,19.044,27.704,18.537,10.739,24.869,104.178,16.943
2023-24,First Nations,126.226,34.623,143.758,237.603,191.761,38.936,357.634,337.763,149.922
2023-24,Non-Indigenous,7.895,3.581,6.627,10.363,7.37,11.051,21.971,7.041,6.978
2023-24,Total,17.162,4.237,18.831,26.386,17.291,14.227,33.99,151.674,16.518
2024-25,First Nations,124.156,35.1,141.684,258.254,191.553,39.415,310.644,278.437,149.891
2024-25,Non-Indigenous,8.459,4.59,6.185,9.733,9.083,9.592,19.846,6.175,7.305
2024-25,Total,17.676,5.258,18.144,26.945,19.044,12.952,29.249,119.656,16.912
