,nsw,vic,qld,wa,sa,tas,act,nt,australia
2020-21,74.4,70.4,27.8,44,4.6,4.3,5.7,16.6,247.9
2021-22,54.1,46.2,38.7,44.7,5.7,2.6,4.9,24,220.9
2022-23,58,32.1,37.5,37.7,4,3.4,8.5,31.7,212.7
2023-24,53.3,29.8,42.7,35.4,3.8,3.9,3,30.1,202.1
2024-25,63.8,43.8,32.6,24.7,4.5,2.7,1.2,28.1,201.3
