sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,151,72,334,114,36,n.p,n.p,216,964
Male,Non-Indigenous,159,251,295,139,51,n.p,n.p,21,986
Male,Not stated,52,2,10,—,5,4,—,18,91
Male,Total,362,325,639,253,92,98,17,255,2041
Female,First Nations,65,18,157,36,18,n.p,n.p,57,372
Female,Non-Indigenous,47,55,82,50,21,n.p,n.p,2,285
Female,Not stated,11,—,1,—,—,1,—,3,16
Female,Total,123,73,240,86,39,42,8,62,673
Total,First Nations,216,90,491,150,54,55,7,273,1336
Total,Non-Indigenous,206,306,377,189,72,80,18,23,1271
Total,Not stated,63,2,11,—,5,5,—,21,107
Total,Total,485,398,879,339,131,140,25,317,2714
