sex,year,10,11,12,13,14,15,16,17,10_17
Male,2020-21,0.359,1.254,4.617,14.881,38.595,70.652,89.471,117.371,40.332
Male,2021-22,0.299,1.013,4.698,13.973,36.721,62.323,89.981,104.688,37.911
Male,2022-23,0.412,2.072,4.961,15.63,37.649,63.367,81.048,101.879,37.673
Male,2023-24,—,0.898,4.916,17.184,35.899,67.488,78.576,92.778,37.29
Male,2024-25,—,0.942,5.244,15.125,38.157,65.64,77.427,95.937,37.511
Female,2020-21,—,—,1.461,5.952,15.575,23.706,25.924,26.686,11.935
Female,2021-22,—,0.314,2.516,6.395,14.803,22.149,24.794,22.844,11.398
Female,2022-23,—,0.312,2.617,7.046,14.813,24.078,22.959,22.909,11.664
Female,2023-24,—,—,1.791,6.291,16.906,22.444,27.384,21.737,12.135
Female,2024-25,—,—,1.829,5.627,15.03,24.186,23.787,23.747,11.852
Total,2020-21,0.184,0.706,3.085,10.551,27.443,47.957,58.73,73.336,26.559
Total,2021-22,0.153,0.673,3.637,10.295,26.099,42.901,58.525,65.126,25.067
Total,2022-23,0.212,1.246,3.82,11.457,26.626,44.354,53.002,63.669,25.076
Total,2023-24,0.155,0.585,3.396,11.884,26.696,45.615,53.812,58.476,25.1
Total,2024-25,—,0.515,3.615,10.504,26.904,45.546,51.461,61.075,25.086
