indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,—,—,—,2.972,10.722,16.939,33.564,8.114
Non-Indigenous,—,—,—,—,0.409,1.411,2.479,3.358,0.953
Total,—,—,—,—,0.463,1.608,2.809,4.008,1.106
