sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
Females,First Nations,29929,6867,25023,10231,4658,2959,n.p.,n.p.,n.p.,85653
Females,Non-Indigenous,373254,318154,257432,135816,82036,23154,n.p.,n.p.,n.p.,1213518
Females,Total,403182,325020,282455,146046,86694,26113,n.p.,n.p.,n.p.,1299172
Males,First Nations,32091,7094,26077,10563,4896,3130,n.p.,n.p.,n.p.,90341
Males,Non-Indigenous,396374,335453,272923,143634,86416,24801,n.p.,n.p.,n.p.,1284948
Males,Total,428464,342546,298999,154197,91311,27931,n.p.,n.p.,n.p.,1375288
Persons,First Nations,62019,13960,51100,20794,9554,6089,n.p.,n.p.,n.p.,175994
Persons,Non-Indigenous,769627,653606,530355,279450,168452,47955,n.p.,n.p.,n.p.,2498466
Persons,Total,831646,667566,581454,300243,178005,54044,n.p.,n.p.,n.p.,2674460
