indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,0.117,13.915,49.002,90.714,208.125,342.16,246.691,121.593
Non-Indigenous,—,—,—,0.733,4.656,9.343,11.454,14.287,5.113
Total,—,—,0.756,3.269,9.372,21.02,29.635,27.14,11.514
