year,sex,nsw,vic,qld,wa,sa,tas,act,nt,australia
2015-16,Male,207.7,89.2,154.1,115.9,45.5,6.8,4.8,45.3,669.3
2015-16,Female,19.6,5.4,33.1,8,4.7,0.3,0.8,5.2,77.2
2015-16,Not stated,—,—,—,—,—,—,—,—,—
2015-16,Total,227.3,94.6,187.3,123.9,50.3,7,5.7,50.5,746.5
2016-17,Male,196.4,104.9,153.9,121.5,41,8.3,6.8,35.3,668.1
2016-17,Female,20.5,8.5,26.7,8,6.1,0.8,1.9,3.2,75.7
2016-17,Not stated,—,—,—,—,—,—,—,—,—
2016-17,Total,216.9,113.3,180.6,129.6,47.2,9.1,8.7,38.5,743.9
2017-18,Male,207.2,107.6,177,127.8,39,8.9,10.2,36.7,714.3
2017-18,Female,23.1,11.6,30.1,8.2,4.4,0.8,2,2.9,83.1
2017-18,Not stated,—,—,—,—,—,—,—,—,—
2017-18,Total,230.3,119.2,207.1,136,43.4,9.7,12.1,39.6,797.4
2018-19,Male,183.1,100.3,203.1,110.3,34.3,11,6.1,33.1,681.3
2018-19,Female,21.3,11.1,33.3,13.2,3.6,0.5,1.7,2.6,87.5
2018-19,Not stated,—,—,—,—,—,—,—,—,—
2018-19,Total,204.5,111.4,236.4,123.5,37.9,11.5,7.8,35.7,768.8
2019-20,Male,175.2,108.9,167.1,92.8,27.8,13,10.5,22,617.3
2019-20,Female,18,9.8,22.7,11,6.7,0.9,3.9,2,75
2019-20,Not stated,0.1,—,—,—,—,—,—,—,0.1
2019-20,Total,193.3,118.7,189.8,103.8,34.5,13.9,14.3,24,692.4
2020-21,Male,137.2,94.1,197.4,86,20.1,7.3,6.4,29.3,577.8
2020-21,Female,13.8,8.1,23.5,10.1,5.2,0.6,1.5,2.8,65.7
2020-21,Not stated,0.3,—,—,—,—,—,—,—,0.3
2020-21,Total,151.3,102.1,220.8,96.1,25.3,8,8,32.2,643.8
2021-22,Male,134.7,72,238.8,92.1,26.1,7.2,7.7,46.1,624.7
2021-22,Female,12.5,6.4,30,12.7,4.5,0.9,2,6.2,75.3
2021-22,Not stated,—,—,—,—,—,—,—,—,—
2021-22,Total,147.2,78.4,268.8,104.9,30.6,8.1,9.7,52.3,700
2022-23,Male,149.5,66.6,249.9,77.5,24.7,10.6,11.1,44.5,634.3
2022-23,Female,10.7,5,35.7,8.8,6.3,2.3,2.7,7.4,79
2022-23,Not stated,—,—,—,—,—,—,—,—,0.1
2022-23,Total,160.2,71.6,285.6,86.4,31.1,13,13.8,51.9,713.4
2023-24,Male,161.7,51.8,255.4,76.7,23.7,12,11.6,40.3,633.1
2023-24,Female,14.5,1.9,38,8.7,6.9,3.6,1.3,3.3,78.2
2023-24,Not stated,—,—,—,—,—,—,—,—,—
2023-24,Total,176.2,53.7,293.4,85.4,30.5,15.6,12.8,43.6,711.3
2024-25,Male,170,71,247.9,66.9,32.1,11.7,15,39.5,654.2
2024-25,Female,14.3,2.9,41.8,7,6.1,2.6,2,2.9,79.5
2024-25,Not stated,—,—,—,—,—,—,—,—,0.1
2024-25,Total,184.3,73.9,289.8,73.9,38.2,14.3,17.1,42.4,733.7
